frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,defense,77.73,21.36,-0.37,-0.25,0.0,0.0,14,False
1,2,defense,65.19,14.25,-0.01,-0.07,0.0,0.0,3,False
1,3,offense,64.31,14.32,-0.06,0.03,0.0,0.0,2,True
1,4,defense,72.11,18.84,-0.04,0.02,0.0,0.0,5,False
1,5,offense,71.47,19.85,0.1,0.02,0.0,0.0,4,False
1,6,defense,74.29,19.35,-0.06,0.05,0.0,0.0,7,False
1,7,offense,73.36,20.18,-0.1,-0.11,0.0,0.0,6,False
1,8,offense,75.26,20.4,-0.09,0.1,0.0,0.0,9,False
1,9,defense,75.55,19.61,-0.18,-0.23,0.0,0.0,8,False
1,10,offense,76.53,20.26,0.33,-0.08,0.0,0.0,11,False
1,11,defense,77.02,19.67,0.05,0.15,0.0,0.0,10,False
1,12,offense,78.55,20.45,0.17,0.13,0.0,0.0,13,False
1,13,defense,78.44,19.6,-0.25,0.31,0.0,0.0,12,False
1,14,offense,77.71,20.15,0.08,0.15,0.0,0.0,1,False
1,15,disc,64.31,14.32,-0.06,0.03,0.0,0.0,0,False
2,1,defense,77.69,21.34,-0.52,-0.37,-2.23,-1.75,14,False
2,2,defense,65.19,14.23,-0.0,-0.04,0.09,0.47,3,False
2,3,offense,64.31,14.32,-0.04,0.11,0.3,1.33,2,True
2,4,defense,72.11,18.83,-0.06,0.01,-0.38,-0.03,5,False
2,5,offense,71.47,19.85,0.09,-0.02,-0.24,-0.58,4,False
2,6,defense,74.28,19.36,-0.06,0.04,-0.11,-0.17,7,False
2,7,offense,73.35,20.16,-0.18,-0.18,-1.22,-1.02,6,False
2,8,offense,75.24,20.41,-0.06,0.18,0.43,1.26,9,False
2,9,defense,75.53,19.58,-0.29,-0.29,-1.68,-0.9,8,False
2,10,offense,76.57,20.25,0.4,-0.1,1.09,-0.29,11,False
2,11,defense,77.03,19.68,0.04,0.18,-0.21,0.46,10,False
2,12,offense,78.57,20.47,0.21,0.19,0.61,0.91,13,False
2,13,defense,78.41,19.64,-0.26,0.32,-0.12,0.24,12,False
2,14,offense,77.71,20.17,0.16,0.23,1.19,1.31,1,False
2,15,disc,64.31,14.32,-0.04,0.11,0.3,1.33,0,False
3,1,defense,77.66,21.31,-0.57,-0.46,-0.77,-1.36,14,False
3,2,defense,65.19,14.23,0.01,0.03,0.12,1.01,3,False
3,3,offense,64.3,14.32,-0.05,0.19,-0.14,1.13,2,True
3,4,defense,72.11,18.84,-0.1,0.01,-0.55,-0.02,5,False
3,5,offense,71.49,19.86,0.07,-0.08,-0.25,-1.04,4,False
3,6,defense,74.27,19.36,-0.07,0.03,-0.06,-0.1,7,False
3,7,offense,73.34,20.16,-0.2,-0.14,-0.39,0.67,6,False
3,8,offense,75.24,20.42,-0.05,0.18,0.26,-0.05,9,False
3,9,defense,75.51,19.56,-0.36,-0.36,-1.01,-1.02,8,False
3,10,offense,76.6,20.24,0.45,-0.16,0.81,-0.83,11,False
3,11,defense,77.03,19.7,0.1,0.21,0.93,0.44,10,False
3,12,offense,78.58,20.48,0.22,0.22,0.26,0.44,13,False
3,13,defense,78.39,19.67,-0.29,0.33,-0.48,0.18,12,False
3,14,offense,77.72,20.18,0.35,0.24,2.94,0.09,1,False
3,15,disc,64.3,14.32,-0.05,0.19,-0.14,1.13,0,False
4,1,defense,77.59,21.26,-0.68,-0.56,-1.68,-1.55,14,False
4,2,defense,65.19,14.24,-0.01,0.05,-0.26,0.33,3,False
4,3,offense,64.3,14.35,-0.04,0.33,0.07,2.12,2,True
4,4,defense,72.1,18.84,-0.15,0.01,-0.74,0.02,5,False
4,5,offense,71.49,19.85,0.09,-0.07,0.28,0.22,4,False
4,6,defense,74.27,19.36,-0.09,0.01,-0.26,-0.31,7,False
4,7,offense,73.31,20.13,-0.31,-0.13,-1.55,0.03,6,False
4,8,offense,75.24,20.45,-0.02,0.18,0.39,0.01,9,False
4,9,defense,75.47,19.53,-0.4,-0.41,-0.74,-0.78,8,False
4,10,offense,76.64,20.23,0.5,-0.22,0.75,-0.94,11,False
4,11,defense,77.03,19.71,0.24,0.29,2.13,1.25,10,False
4,12,offense,78.61,20.5,0.23,0.25,0.13,0.45,13,False
4,13,defense,78.37,19.69,-0.35,0.46,-0.95,1.93,12,False
4,14,offense,77.75,20.22,0.51,0.34,2.33,1.45,1,False
4,15,disc,64.3,14.35,-0.04,0.33,0.07,2.12,0,False
5,1,defense,77.54,21.21,-0.61,-0.6,1.15,-0.64,14,False
5,2,defense,65.19,14.26,-0.05,0.11,-0.53,0.94,3,False
5,3,offense,64.3,14.38,0.01,0.46,0.73,1.97,2,True
5,4,defense,72.08,18.84,-0.2,0.02,-0.81,0.14,5,False
5,5,offense,71.49,19.82,0.09,-0.09,-0.07,-0.35,4,False
5,6,defense,74.26,19.36,-0.06,-0.03,0.4,-0.6,7,False
5,7,offense,73.29,20.14,-0.37,-0.05,-0.86,1.19,6,False
5,8,offense,75.24,20.46,0.07,0.15,1.41,-0.56,9,False
5,9,defense,75.43,19.49,-0.43,-0.36,-0.46,0.87,8,False
5,10,offense,76.69,20.2,0.46,-0.25,-0.62,-0.5,11,False
5,11,defense,77.06,19.74,0.34,0.32,1.41,0.48,10,False
5,12,offense,78.63,20.53,0.18,0.22,-0.79,-0.49,13,False
5,13,defense,78.34,19.72,-0.22,0.36,1.99,-1.55,12,False
5,14,offense,77.83,20.23,0.62,0.42,1.67,1.33,1,False
5,15,disc,64.3,14.38,0.01,0.46,0.73,1.97,0,False
6,1,defense,77.5,21.17,-0.61,-0.6,-0.02,0.01,14,False
6,2,defense,65.19,14.26,-0.14,0.09,-1.39,-0.27,3,False
6,3,offense,64.3,14.43,0.04,0.58,0.57,1.7,2,True
6,4,defense,72.06,18.84,-0.19,0.01,0.16,-0.24,5,False
6,5,offense,71.5,19.83,0.02,-0.2,-1.05,-1.55,4,False
6,6,defense,74.26,19.36,-0.06,-0.04,-0.08,-0.16,7,False
6,7,offense,73.25,20.14,-0.39,-0.04,-0.39,0.19,6,False
6,8,offense,75.25,20.46,0.15,0.12,1.17,-0.34,9,False
6,9,defense,75.41,19.47,-0.42,-0.36,0.24,-0.0,8,False
6,10,offense,76.7,20.18,0.47,-0.28,0.08,-0.37,11,False
6,11,defense,77.1,19.76,0.43,0.33,1.36,0.08,10,False
6,12,offense,78.63,20.54,0.27,0.22,1.41,-0.01,13,False
6,13,defense,78.32,19.76,-0.08,0.33,2.03,-0.43,12,False
6,14,offense,77.88,20.27,0.65,0.52,0.51,1.43,1,False
6,15,disc,64.3,14.43,0.04,0.58,0.57,1.7,0,False
7,1,defense,77.49,21.14,-0.52,-0.51,1.33,1.44,14,False
7,2,defense,65.17,14.27,-0.28,0.09,-2.1,-0.13,3,False
7,3,offense,64.31,14.47,0.04,0.54,-0.0,-0.49,2,True
7,4,defense,72.05,18.84,-0.2,0.01,-0.16,0.0,5,False
7,5,offense,71.5,19.82,-0.0,-0.27,-0.25,-1.16,4,False
7,6,defense,74.26,19.35,-0.06,-0.04,-0.0,-0.0,7,False
7,7,offense,73.23,20.15,-0.38,0.04,0.2,1.18,6,False
7,8,offense,75.27,20.46,0.17,0.0,0.32,-1.78,9,False
7,9,defense,75.39,19.46,-0.31,-0.31,1.61,0.63,8,False
7,10,offense,76.73,20.16,0.45,-0.29,-0.33,-0.17,11,False
7,11,defense,77.14,19.79,0.53,0.31,1.57,-0.24,10,False
7,12,offense,78.63,20.54,0.33,0.15,0.86,-0.96,13,False
7,13,defense,78.34,19.76,0.02,0.37,1.62,0.61,12,False
7,14,offense,77.92,20.31,0.59,0.57,-0.97,0.75,1,False
7,15,disc,64.31,14.47,0.04,0.54,-0.0,-0.49,0,False
8,1,defense,77.45,21.11,-0.43,-0.5,1.37,0.16,14,False
8,2,defense,65.14,14.26,-0.43,-0.09,-2.33,-2.56,3,False
