frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,offense,48.61,19.99,0.01,0.26,0.0,0.0,2,False
1,2,defense,48.39,18.94,0.07,0.05,0.0,0.0,1,False
1,3,offense,46.93,20.02,0.11,0.0,0.0,0.0,13,False
1,4,offense,44.28,19.91,-0.12,0.14,0.0,0.0,5,False
1,5,defense,44.43,18.93,0.25,0.1,0.0,0.0,4,False
1,6,offense,41.74,19.8,-0.02,-0.04,0.0,0.0,7,False
1,7,defense,41.18,18.5,-0.23,0.14,0.0,0.0,6,False
1,8,offense,40.19,20.36,-0.11,0.07,0.0,0.0,9,False
1,9,defense,39.83,21.51,-0.05,-0.11,0.0,0.0,8,False
1,10,defense,32.23,14.3,0.09,-0.05,0.0,0.0,12,False
1,11,offense,51.57,20.65,0.04,-0.13,0.0,0.0,14,False
1,12,offense,31.06,14.18,-0.02,-0.02,0.0,0.0,10,True
1,13,defense,46.53,22.06,0.13,-0.2,0.0,0.0,3,False
1,14,defense,51.28,19.82,0.05,-0.0,0.0,0.0,11,False
1,15,disc,31.06,14.18,-0.02,-0.02,0.0,0.0,0,False
2,1,offense,48.62,20.01,-0.02,0.36,-0.55,1.39,2,False
2,2,defense,48.4,18.94,0.04,0.06,-0.45,0.21,1,False
2,3,offense,46.94,20.02,0.13,-0.04,0.3,-0.6,13,False
2,4,offense,44.27,19.93,-0.19,0.19,-1.07,0.75,5,False
2,5,defense,44.44,18.94,0.34,0.18,1.44,1.11,4,False
2,6,offense,41.74,19.8,-0.05,-0.04,-0.39,0.02,7,False
2,7,defense,41.15,18.5,-0.37,0.2,-2.04,0.85,6,False
2,8,offense,40.18,20.36,-0.23,0.15,-1.69,1.1,9,False
2,9,defense,39.83,21.5,-0.12,-0.24,-0.99,-1.94,8,False
2,10,defense,32.24,14.29,0.14,-0.09,0.69,-0.59,12,False
2,11,offense,51.57,20.63,0.07,-0.25,0.46,-1.81,14,False
2,12,offense,31.06,14.18,-0.05,-0.04,-0.38,-0.33,10,True
2,13,defense,46.54,22.03,0.25,-0.34,1.81,-2.09,3,False
2,14,defense,51.28,19.82,0.07,-0.01,0.32,-0.07,11,False
2,15,disc,31.06,14.18,-0.05,-0.04,-0.38,-0.33,0,False
3,1,offense,48.62,20.04,-0.04,0.46,-0.2,1.52,2,False
3,2,defense,48.41,18.95,0.03,0.07,-0.07,0.15,1,False
3,3,offense,46.95,20.02,0.15,0.0,0.3,0.61,13,False
3,4,offense,44.26,19.94,-0.22,0.26,-0.51,1.07,5,False
3,5,defense,44.48,18.95,0.42,0.14,1.1,-0.52,4,False
3,6,offense,41.74,19.79,0.02,0.0,0.99,0.62,7,False
3,7,defense,41.13,18.53,-0.41,0.26,-0.62,0.89,6,False
3,8,offense,40.17,20.38,-0.28,0.16,-0.89,0.24,9,False
3,9,defense,39.82,21.48,-0.16,-0.29,-0.57,-0.68,8,False
3,10,defense,32.24,14.29,0.11,-0.09,-0.37,-0.01,12,False
3,11,offense,51.58,20.62,0.06,-0.27,-0.18,-0.17,14,False
3,12,offense,31.06,14.17,0.01,-0.03,0.83,0.15,10,True
3,13,defense,46.55,22.02,0.28,-0.44,0.41,-1.52,3,False
3,14,defense,51.29,19.82,0.08,-0.0,0.16,0.04,11,False
3,15,disc,31.06,14.17,0.01,-0.03,0.83,0.15,0,False
4,1,offense,48.61,20.08,-0.08,0.64,-0.6,2.75,2,False
4,2,defense,48.4,18.95,-0.01,0.08,-0.6,0.03,1,False
4,3,offense,46.96,20.01,0.21,0.01,1.0,0.02,13,False
4,4,offense,44.23,19.96,-0.34,0.36,-1.72,1.48,5,False
4,5,defense,44.52,18.98,0.59,0.17,2.61,0.33,4,False
4,6,offense,41.73,19.79,0.05,0.06,0.52,0.83,7,False
4,7,defense,41.08,18.55,-0.56,0.38,-2.2,1.8,6,False
4,8,offense,40.13,20.4,-0.42,0.23,-2.04,1.0,9,False
4,9,defense,39.8,21.44,-0.32,-0.42,-2.53,-1.96,8,False
4,10,defense,32.26,14.27,0.06,-0.11,-0.77,-0.29,12,False
4,11,offense,51.59,20.58,0.06,-0.31,0.04,-0.62,14,False
4,12,offense,31.05,14.17,0.03,-0.01,0.36,0.35,10,True
4,13,defense,46.59,21.97,0.38,-0.57,1.49,-1.9,3,False
4,14,defense,51.3,19.82,0.1,-0.0,0.36,0.02,11,False
4,15,disc,31.05,14.17,0.03,-0.01,0.36,0.35,0,False
