frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,offense,71.5,16.18,1.44,0.17,0.0,0.0,14,False
1,2,defense,63.43,22.91,-0.04,-0.01,0.0,0.0,3,False
1,3,offense,62.73,23.5,0.11,0.09,0.0,0.0,2,True
1,4,offense,72.38,17.89,0.11,0.28,0.0,0.0,5,False
1,5,defense,72.91,18.77,-0.3,0.03,0.0,0.0,4,False
1,6,offense,73.27,22.37,0.51,-0.42,0.0,0.0,13,False
1,7,defense,78.84,23.47,0.88,-0.25,0.0,0.0,8,False
1,8,offense,79.41,22.45,0.76,-0.5,0.0,0.0,7,False
1,9,defense,76.73,18.67,0.46,-0.13,0.0,0.0,10,False
1,10,offense,76.19,17.77,0.3,0.02,0.0,0.0,9,False
1,11,offense,75.7,20.34,0.02,-0.32,0.0,0.0,12,False
1,12,defense,77.62,22.05,-0.0,-0.15,0.0,0.0,11,False
1,13,defense,74.14,24.07,0.55,-0.47,0.0,0.0,6,False
1,14,defense,69.07,19.29,1.55,0.11,0.0,0.0,1,False
1,15,disc,62.73,23.5,0.11,0.09,0.0,0.0,0,False
2,1,offense,71.66,16.2,2.08,0.26,9.7,1.27,14,False
2,2,defense,63.42,22.91,-0.08,-0.01,-0.57,-0.08,3,False
2,3,offense,62.74,23.52,0.19,0.12,1.13,0.56,2,True
2,4,offense,72.4,17.92,0.09,0.46,-0.39,2.72,5,False
2,5,defense,72.88,18.77,-0.35,0.1,-0.71,0.95,4,False
2,6,offense,73.32,22.33,0.81,-0.63,4.44,-3.06,13,False
2,7,defense,78.93,23.45,1.36,-0.46,7.11,-3.22,8,False
2,8,offense,79.47,22.42,1.08,-0.74,4.86,-3.57,7,False
2,9,defense,76.78,18.66,0.72,-0.18,4.02,-0.72,10,False
2,10,offense,76.22,17.77,0.45,-0.03,2.29,-0.72,9,False
2,11,offense,75.69,20.31,0.06,-0.44,0.67,-1.9,12,False
2,12,defense,77.62,22.04,0.03,-0.23,0.51,-1.23,11,False
2,13,defense,74.2,24.02,0.87,-0.7,4.82,-3.45,6,False
2,14,defense,69.25,19.31,2.15,0.09,8.95,-0.3,1,False
2,15,disc,62.74,23.52,0.19,0.12,1.13,0.56,0,False
3,1,offense,71.79,16.21,2.5,0.35,6.25,1.48,14,False
3,2,defense,63.42,22.91,-0.03,-0.03,0.74,-0.3,3,False
3,3,offense,62.75,23.52,0.18,0.1,-0.06,-0.38,2,True
3,4,offense,72.41,17.95,0.07,0.54,-0.24,1.23,5,False
3,5,defense,72.85,18.78,-0.39,0.11,-0.73,0.2,4,False
3,6,offense,73.37,22.29,1.0,-0.88,2.93,-3.85,13,False
3,7,defense,79.02,23.42,1.63,-0.55,4.18,-1.25,8,False
3,8,offense,79.56,22.35,1.31,-0.96,3.39,-3.34,7,False
3,9,defense,76.83,18.65,0.88,-0.19,2.37,-0.12,10,False
3,10,offense,76.25,17.77,0.63,-0.07,2.7,-0.59,9,False
3,11,offense,75.7,20.28,0.07,-0.54,0.16,-1.45,12,False
3,12,defense,77.62,22.02,0.08,-0.29,0.74,-0.94,11,False
3,13,defense,74.25,23.98,1.07,-0.91,3.07,-3.15,6,False
3,14,defense,69.38,19.32,2.65,0.05,7.53,-0.65,1,False
3,15,disc,62.75,23.52,0.18,0.1,-0.06,-0.38,0,False
4,1,offense,72.06,16.25,3.28,0.55,11.69,2.9,14,False
4,2,defense,63.41,22.91,0.0,-0.03,0.5,-0.01,3,False
4,3,offense,62.78,23.53,0.18,0.1,0.02,-0.01,2,True
4,4,offense,72.41,18.02,0.05,0.73,-0.3,2.93,5,False
4,5,defense,72.82,18.8,-0.49,0.14,-1.44,0.49,4,False
4,6,offense,73.48,22.21,1.39,-1.26,5.84,-5.72,13,False
