frame,id,class,x,y,vx,vy,ax,ay,closest,holder
0,1,defense,1348.53,805.32,-6504.48,-3978.28,0.0,0.0,9,False
0,2,offense,1540.83,762.21,-7501.76,-3755.36,0.0,0.0,4,False
0,3,offense,2120.48,786.94,-10506.89,-3884.58,0.0,0.0,7,False
0,4,defense,1514.25,754.57,-7363.88,-3715.96,0.0,0.0,2,False
0,5,defense,1551.73,740.37,-7557.75,-3642.28,0.0,0.0,6,False
0,6,offense,1522.19,733.58,-7404.66,-3607.13,0.0,0.0,5,False
0,7,defense,2101.07,792.52,-10406.35,-3913.38,0.0,0.0,3,False
0,8,defense,1776.02,720.01,-8721.0,-3537.58,0.0,0.0,11,False
0,9,offense,1391.86,779.55,-6729.2,-3844.86,0.0,0.0,1,False
0,10,offense,1506.44,719.42,-7322.62,-3534.06,0.0,0.0,14,False
0,11,offense,1755.06,705.99,-8612.29,-3464.65,0.0,0.0,8,False
0,12,offense,1617.98,710.1,-7901.61,-3485.74,0.0,0.0,13,False
0,13,defense,1621.03,674.91,-7917.19,-3303.58,0.0,0.0,12,False
0,14,defense,1536.23,701.2,-7476.99,-3439.75,0.0,0.0,10,False
1,1,defense,47.64,9.67,-4878.39,-2983.73,24391.23,14918.15,9,False
1,2,offense,40.51,11.13,-5626.65,-2816.48,28126.57,14083.2,4,False
1,3,offense,19.1,10.02,-7880.13,-2913.45,39401.42,14567.02,7,True
1,4,defense,41.51,11.39,-5523.17,-2787.03,27610.64,13933.83,2,False
1,5,defense,40.17,11.91,-5668.19,-2731.69,28343.46,13658.81,6,False
1,6,offense,41.25,12.15,-5553.43,-2705.31,27768.36,13527.31,5,False
1,7,defense,19.8,9.84,-7804.82,-2934.99,39023.06,14675.79,3,False
1,8,defense,31.85,12.51,-6540.95,-2653.32,32700.73,13263.81,11,False
1,9,offense,46.03,10.58,-5047.01,-2883.61,25232.96,14418.63,1,False
1,10,offense,41.86,12.63,-5491.68,-2650.72,27464.23,13250.09,14,False
1,11,offense,32.63,13.05,-6459.34,-2598.41,32294.24,12993.62,8,False
1,12,offense,37.68,12.95,-5926.35,-2614.34,29628.97,13071.08,13,False
1,13,defense,37.58,14.2,-5937.9,-2477.76,29689.31,12387.29,12,False
1,14,defense,40.77,13.27,-5607.31,-2579.96,28045.13,12896.75,10,False
1,15,disc,19.1,10.02,0.07,-0.03,0.0,0.0,0,False
2,1,defense,47.63,9.67,-3902.75,-2387.0,14634.67,8950.94,9,False
2,2,offense,40.48,11.14,-4501.52,-2253.12,16877.03,8450.42,4,False
2,3,offense,19.1,10.02,-6304.1,-2330.74,23640.44,8740.55,7,True
2,4,defense,41.47,11.38,-4418.82,-2229.67,16565.25,8360.48,2,False
2,5,defense,40.18,11.91,-4534.47,-2185.32,17005.8,8195.57,6,False
2,6,offense,41.26,12.16,-4442.73,-2164.22,16660.57,8116.38,5,False
2,7,defense,19.8,9.85,-6243.94,-2347.99,23413.19,8804.99,3,False
2,8,defense,31.82,12.49,-5232.93,-2122.76,19620.3,7958.42,11,False
2,9,offense,46.02,10.58,-4037.69,-2306.88,15139.7,8651.0,1,False
2,10,offense,41.92,12.61,-4393.1,-2120.73,16478.58,7949.85,14,False
2,11,offense,32.61,13.06,-5167.6,-2078.67,19376.14,7796.17,8,False
2,12,offense,37.66,12.95,-4741.2,-2091.45,17777.19,7843.25,13,False
2,13,defense,37.59,14.19,-4750.34,-1982.28,17813.41,7432.24,12,False
2,14,defense,40.83,13.25,-4485.53,-2064.09,16826.7,7738.1,10,False
2,15,disc,19.1,10.02,0.06,-0.0,-0.18,0.36,0,False
3,1,defense,47.62,9.66,-3902.79,-2387.05,-0.63,-0.71,9,False
3,2,offense,40.39,11.15,-4501.71,-2253.04,-2.95,1.22,4,False
3,3,offense,19.11,10.02,-6304.11,-2330.69,-0.17,0.73,7,True
3,4,defense,41.4,11.37,-4419.08,-2229.7,-3.93,-0.45,2,False
3,5,defense,40.22,11.92,-4534.31,-2185.26,2.37,0.95,6,False
3,6,offense,41.27,12.17,-4442.71,-2164.18,0.24,0.69,5,False
3,7,defense,19.78,9.86,-6244.02,-2348.04,-1.27,-0.65,3,False
