frame,id,class,x,y,vx,vy,ax,ay,closest,holder
0,1,defense,583.72,918.91,-2822.14,-4440.81,0.0,0.0,14,False
0,2,defense,873.71,793.19,-4220.32,-3833.74,0.0,0.0,3,False
0,3,offense,875.87,760.71,-4230.73,-3676.98,0.0,0.0,2,False
0,4,offense,921.35,731.21,-4449.86,-3534.78,0.0,0.0,5,False
0,5,defense,930.22,771.76,-4492.5,-3730.41,0.0,0.0,4,False
0,6,offense,972.32,760.95,-4695.53,-3678.23,0.0,0.0,7,False
0,7,defense,976.91,804.53,-4717.57,-3888.5,0.0,0.0,6,False
0,8,defense,1032.41,793.57,-4985.05,-3835.41,0.0,0.0,9,False
0,9,offense,1041.76,756.45,-5030.05,-3656.4,0.0,0.0,8,False
0,10,offense,1084.33,756.49,-5235.28,-3656.55,0.0,0.0,11,False
0,11,defense,1071.37,810.66,-5172.72,-3917.98,0.0,0.0,10,False
0,12,offense,1114.96,807.0,-5382.9,-3900.1,0.0,0.0,13,False
0,13,defense,1114.77,876.83,-5381.99,-4237.29,0.0,0.0,12,False
0,14,offense,568.24,936.96,-2747.47,-4527.81,0.0,0.0,1,False
1,1,defense,19.28,30.76,-2116.58,-3330.62,10583.29,16652.91,14,False
1,2,defense,29.65,26.43,-3165.3,-2875.28,15825.32,14376.9,3,False
1,3,offense,29.73,25.3,-3173.13,-2757.66,15864.07,13789.8,2,False
1,4,offense,31.38,24.26,-3337.42,-2651.13,16686.64,13254.8,5,False
1,5,defense,31.71,25.68,-3369.35,-2797.82,16847.22,13988.84,4,False
1,6,offense,33.21,25.31,-3521.67,-2758.69,17607.83,13792.97,7,False
1,7,defense,33.39,26.83,-3538.15,-2916.42,17691.28,14581.28,6,False
1,8,defense,35.39,26.47,-3738.7,-2876.41,18695.32,14384.91,9,False
1,9,offense,35.73,25.16,-3772.38,-2742.3,18865.1,13711.49,8,False
1,10,offense,37.27,25.18,-3926.41,-2742.25,19633.11,13714.42,11,False
1,11,defense,36.81,27.06,-3879.42,-2938.45,19399.59,14692.94,10,False
1,12,offense,38.37,26.95,-4037.1,-2924.86,20186.92,14628.63,13,False
1,13,defense,38.36,29.38,-4036.48,-3177.95,20182.69,15890.02,12,False
1,14,offense,18.72,31.4,-2060.47,-3395.85,10305.01,16979.49,1,True
1,15,disc,18.72,31.4,0.27,0.01,0.0,0.0,0,False
2,1,defense,19.29,30.75,-1693.21,-2664.52,6350.55,9991.51,14,False
2,2,defense,29.65,26.44,-2532.29,-2300.19,9495.07,8626.31,3,False
2,3,offense,29.72,25.31,-2538.55,-2206.11,9518.68,8273.31,2,False
2,4,offense,31.38,24.26,-2669.91,-2120.93,10012.56,7953.08,5,False
2,5,defense,31.72,25.68,-2695.39,-2238.25,10109.43,8393.67,4,False
2,6,offense,33.21,25.3,-2817.34,-2206.92,10564.92,8276.56,7,False
2,7,defense,33.4,26.82,-2830.48,-2333.21,10615.09,8748.08,6,False
2,8,defense,35.4,26.49,-2990.86,-2300.99,11217.68,8631.37,9,False
2,9,offense,35.75,25.16,-3017.82,-2193.84,11318.34,8227.0,8,False
2,10,offense,37.28,25.18,-3141.01,-2193.69,11780.97,8228.46,11,False
2,11,defense,36.82,27.07,-3103.42,-2350.74,11640.03,8815.69,10,False
2,12,offense,38.38,26.98,-3229.65,-2339.73,12111.87,8776.9,13,False
2,13,defense,38.37,29.38,-3229.14,-2542.36,12110.03,9533.86,12,False
2,14,offense,18.74,31.4,-1648.29,-2716.62,6182.71,10188.46,1,True
2,15,disc,18.74,31.4,0.31,0.08,0.6,1.13,0,False
3,1,defense,19.29,30.75,-1693.17,-2664.52,0.67,0.01,14,False
3,2,defense,29.63,26.44,-2532.31,-2300.19,-0.25,0.0,3,False
3,3,offense,29.7,25.33,-2538.61,-2206.07,-0.86,0.6,2,False
3,4,offense,31.37,24.25,-2669.89,-2120.95,0.32,-0.31,5,False
3,5,defense,31.72,25.68,-2695.28,-2238.2,1.65,0.71,4,False
3,6,offense,33.2,25.3,-2817.36,-2206.89,-0.33,0.47,7,False
3,7,defense,33.4,26.81,-2830.43,-2333.28,0.68,-1.02,6,False
3,8,defense,35.43,26.53,-2990.72,-2300.87,2.02,1.78,9,False
3,9,offense,35.79,25.16,-3017.72,-2193.83,1.58,0.16,8,False
