frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,defense,61.06,13.45,-0.13,0.36,0.0,0.0,14,False
1,2,defense,65.62,17.24,0.09,0.05,0.0,0.0,3,False
1,3,offense,66.52,16.95,0.34,0.11,0.0,0.0,2,False
1,4,defense,68.35,13.28,0.49,0.13,0.0,0.0,5,False
1,5,offense,68.99,14.45,0.28,0.17,0.0,0.0,4,False
1,6,defense,70.6,13.47,0.5,0.52,0.0,0.0,7,False
1,7,offense,70.3,14.52,0.17,0.21,0.0,0.0,6,False
1,8,offense,72.45,14.66,0.16,0.08,0.0,0.0,9,False
1,9,defense,72.64,16.39,0.1,0.12,0.0,0.0,8,False
1,10,defense,75.48,13.87,0.23,0.13,0.0,0.0,11,False
1,11,offense,75.79,15.05,0.16,0.12,0.0,0.0,10,False
1,12,defense,78.16,15.19,0.28,0.13,0.0,0.0,13,False
1,13,offense,79.78,14.69,0.2,-0.0,0.0,0.0,12,False
1,14,offense,60.08,13.68,-0.01,0.03,0.0,0.0,1,True
1,15,disc,60.08,13.68,-0.01,0.03,0.0,0.0,0,False
2,1,defense,61.05,13.48,-0.19,0.49,-1.03,1.91,14,False
2,2,defense,65.63,17.25,0.19,0.06,1.54,0.17,3,False
2,3,offense,66.56,16.96,0.44,0.16,1.45,0.71,2,False
2,4,defense,68.4,13.29,0.67,0.26,2.71,1.99,5,False
2,5,offense,69.01,14.47,0.48,0.23,3.09,0.99,4,False
2,6,defense,70.66,13.52,0.73,0.69,3.38,2.61,7,False
2,7,offense,70.34,14.53,0.26,0.32,1.28,1.56,6,False
2,8,offense,72.46,14.67,0.25,0.07,1.3,-0.07,9,False
2,9,defense,72.65,16.4,0.15,0.17,0.73,0.85,8,False
2,10,defense,75.5,13.89,0.35,0.11,1.94,-0.24,11,False
2,11,offense,75.8,15.06,0.28,0.16,1.84,0.65,10,False
2,12,defense,78.19,15.19,0.42,0.17,2.06,0.62,13,False
2,13,offense,79.8,14.69,0.31,0.02,1.73,0.28,12,False
2,14,offense,60.08,13.68,0.01,0.01,0.28,-0.42,1,True
2,15,disc,60.08,13.68,0.01,0.01,0.28,-0.42,0,False
3,1,defense,61.03,13.52,-0.22,0.58,-0.41,1.46,14,False
3,2,defense,65.64,17.25,0.17,0.09,-0.25,0.49,3,False
3,3,offense,66.59,16.97,0.54,0.17,1.43,0.23,2,False
3,4,defense,68.45,13.3,0.69,0.31,0.42,0.71,5,False
3,5,offense,69.04,14.48,0.56,0.29,1.14,0.81,4,False
3,6,defense,70.7,13.57,0.82,0.84,1.34,2.31,7,False
3,7,offense,70.33,14.56,0.28,0.34,0.35,0.37,6,False
3,8,offense,72.49,14.68,0.26,0.09,0.23,0.3,9,False
3,9,defense,72.66,16.42,0.12,0.21,-0.46,0.48,8,False
3,10,defense,75.52,13.9,0.39,0.19,0.55,1.17,11,False
3,11,offense,75.82,15.07,0.31,0.2,0.46,0.53,10,False
3,12,defense,78.21,15.21,0.45,0.27,0.52,1.46,13,False
3,13,offense,79.82,14.69,0.42,0.07,1.67,0.82,12,False
3,14,offense,60.08,13.69,0.01,0.01,-0.02,0.01,1,True
3,15,disc,60.08,13.69,0.01,0.01,-0.02,0.01,0,False
4,1,defense,61.01,13.57,-0.31,0.68,-1.3,1.46,14,False
4,2,defense,65.67,17.26,0.24,0.12,0.98,0.36,3,False
4,3,offense,66.64,16.99,0.69,0.22,2.27,0.7,2,False
4,4,defense,68.53,13.35,0.89,0.39,2.91,1.18,5,False
4,5,offense,69.12,14.51,0.75,0.43,2.9,2.15,4,False
4,6,defense,70.8,13.65,1.07,1.13,3.84,4.33,7,False
4,7,offense,70.37,14.6,0.29,0.41,0.18,1.04,6,False
4,8,offense,72.52,14.68,0.33,0.13,0.98,0.52,9,False
4,9,defense,72.68,16.44,0.14,0.25,0.33,0.68,8,False
4,10,defense,75.57,13.9,0.43,0.29,0.64,1.49,11,False
4,11,offense,75.86,15.09,0.43,0.3,1.78,1.5,10,False
4,12,defense,78.27,15.23,0.63,0.39,2.59,1.83,13,False
4,13,offense,79.86,14.7,0.63,0.15,3.08,1.19,12,False
4,14,offense,60.09,13.68,-0.02,-0.01,-0.47,-0.3,1,True
