frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,offense,18.02,24.31,0.15,0.15,0.0,0.0,14,True
1,2,defense,28.39,20.77,0.05,0.02,0.0,0.0,3,False
1,3,offense,28.54,19.1,0.0,0.06,0.0,0.0,2,False
1,4,offense,30.22,18.95,-0.06,0.17,0.0,0.0,5,False
1,5,defense,31.17,21.01,-0.14,-0.1,0.0,0.0,4,False
1,6,offense,32.49,19.15,-0.02,0.0,0.0,0.0,7,False
1,7,defense,34.76,21.06,-0.17,-0.08,0.0,0.0,6,False
1,8,offense,35.76,19.6,0.15,-0.02,0.0,0.0,10,False
1,9,offense,37.61,19.46,0.08,-0.23,0.0,0.0,11,False
1,10,defense,37.44,21.96,0.13,0.03,0.0,0.0,8,False
1,11,defense,39.35,20.61,0.22,0.11,0.0,0.0,9,False
1,12,offense,41.33,22.99,-0.04,0.01,0.0,0.0,13,False
1,13,defense,41.65,24.56,-0.04,0.08,0.0,0.0,12,False
1,14,defense,18.19,23.9,0.47,0.13,0.0,0.0,1,False
1,15,disc,18.02,24.31,0.15,0.15,0.0,0.0,0,False
2,1,offense,18.04,24.32,0.32,0.26,2.68,1.63,14,True
2,2,defense,28.39,20.77,0.14,0.07,1.34,0.72,3,False
2,3,offense,28.54,19.11,0.05,0.17,0.67,1.59,2,False
2,4,offense,30.2,18.96,-0.1,0.22,-0.54,0.78,5,False
2,5,defense,31.17,21.0,-0.21,-0.17,-1.14,-0.97,4,False
2,6,offense,32.49,19.15,-0.03,0.03,-0.21,0.41,7,False
2,7,defense,34.75,21.06,-0.29,-0.15,-1.72,-1.13,6,False
2,8,offense,35.78,19.61,0.2,-0.06,0.76,-0.57,10,False
2,9,offense,37.62,19.43,0.11,-0.29,0.48,-0.99,11,False
2,10,defense,37.45,21.96,0.18,0.03,0.72,-0.05,8,False
2,11,defense,39.37,20.62,0.32,0.14,1.52,0.56,9,False
2,12,offense,41.32,22.99,-0.07,0.03,-0.47,0.17,13,False
2,13,defense,41.64,24.57,-0.03,0.08,0.15,-0.11,12,False
2,14,defense,18.24,23.91,0.69,0.22,3.36,1.24,1,False
2,15,disc,18.04,24.32,0.32,0.26,2.68,1.63,0,False
3,1,offense,18.05,24.34,0.38,0.35,0.81,1.32,14,True
3,2,defense,28.4,20.77,0.22,0.08,1.19,0.12,3,False
3,3,offense,28.54,19.11,0.07,0.18,0.33,0.15,2,False
3,4,offense,30.2,18.98,-0.06,0.23,0.59,0.15,5,False
3,5,defense,31.15,20.99,-0.27,-0.21,-0.84,-0.63,4,False
3,6,offense,32.49,19.15,-0.01,0.07,0.4,0.56,7,False
3,7,defense,34.72,21.04,-0.4,-0.18,-1.75,-0.36,6,False
3,8,offense,35.79,19.6,0.23,-0.04,0.52,0.18,10,False
3,9,offense,37.63,19.41,0.13,-0.25,0.29,0.73,11,False
3,10,defense,37.46,21.97,0.26,0.06,1.23,0.58,8,False
3,11,defense,39.4,20.63,0.44,0.14,1.76,-0.09,9,False
3,12,offense,41.32,22.99,-0.09,0.05,-0.29,0.41,13,False
3,13,defense,41.64,24.58,0.03,0.08,0.87,0.1,12,False
3,14,defense,18.29,23.93,0.86,0.25,2.49,0.5,1,False
3,15,disc,18.05,24.34,0.38,0.35,0.81,1.32,0,False
4,1,offense,18.1,24.38,0.5,0.51,1.78,2.44,14,True
4,2,defense,28.42,20.79,0.33,0.1,1.61,0.33,3,False
4,3,offense,28.55,19.14,0.1,0.18,0.47,0.0,2,False
4,4,offense,30.19,19.01,-0.06,0.28,-0.02,0.81,5,False
4,5,defense,31.12,20.96,-0.38,-0.3,-1.65,-1.3,4,False
4,6,offense,32.48,19.16,0.01,0.11,0.3,0.65,7,False
4,7,defense,34.68,21.02,-0.58,-0.25,-2.61,-1.14,6,False
4,8,offense,35.81,19.59,0.31,-0.06,1.11,-0.15,10,False
4,9,offense,37.64,19.38,0.15,-0.23,0.3,0.17,11,False
4,10,defense,37.49,21.97,0.35,0.09,1.44,0.33,8,False
4,11,defense,39.44,20.65,0.61,0.14,2.57,0.02,9,False
4,12,offense,41.31,22.99,-0.09,0.12,-0.02,0.97,13,False
4,13,defense,41.64,24.58,0.08,0.13,0.78,0.65,12,False
4,14,defense,18.38,23.96,1.13,0.33,4.08,1.15,1,False
4,15,disc,18.1,24.38,0.5,0.51,1.78,2.44,0,False
5,1,offense,18.14,24.43,0.55,0.69,0.86,2.66,14,True
5,2,defense,28.46,20.79,0.41,0.12,1.31,0.2,3,False
5,3,offense,28.56,19.16,0.13,0.18,0.46,-0.01,2,False
5,4,offense,30.2,19.02,-0.0,0.26,0.84,-0.41,5,False
5,5,defense,31.08,20.94,-0.5,-0.41,-1.77,-1.72,4,False
5,6,offense,32.49,19.17,0.04,0.15,0.41,0.64,7,False
5,7,defense,34.62,21.0,-0.72,-0.34,-2.15,-1.33,6,False
5,8,offense,35.84,19.59,0.35,-0.08,0.61,-0.34,10,False
5,9,offense,37.66,19.38,0.16,-0.13,0.05,1.61,11,False
5,10,defense,37.52,21.98,0.4,0.1,0.75,0.17,8,False
5,11,defense,39.5,20.66,0.71,0.08,1.57,-0.89,9,False
5,12,offense,41.3,23.01,-0.08,0.18,0.2,0.89,13,False
5,13,defense,41.66,24.59,0.15,0.1,1.0,-0.47,12,False
5,14,defense,18.48,23.99,1.26,0.39,1.88,0.91,1,False
5,15,disc,18.14,24.43,0.55,0.69,0.86,2.66,0,False
6,1,offense,18.18,24.49,0.66,0.77,1.56,1.15,14,True
6,2,defense,28.49,20.8,0.51,0.13,1.44,0.25,3,False
6,3,offense,28.57,19.16,0.16,0.18,0.47,0.13,2,False
6,4,offense,30.2,19.04,-0.0,0.21,-0.02,-0.77,5,False
6,5,defense,31.05,20.91,-0.59,-0.49,-1.42,-1.23,4,False
6,6,offense,32.49,19.19,0.07,0.2,0.37,0.65,7,False
6,7,defense,34.56,20.97,-0.77,-0.39,-0.71,-0.73,6,False
6,8,offense,35.86,19.59,0.44,-0.03,1.43,0.7,10,False
6,9,offense,37.66,19.38,0.12,-0.05,-0.49,1.09,11,False
6,10,defense,37.56,21.99,0.45,0.11,0.64,0.23,8,False
6,11,defense,39.56,20.66,0.79,0.06,1.1,-0.34,9,False
6,12,offense,41.3,23.03,-0.07,0.24,0.12,0.92,13,False
6,13,defense,41.67,24.6,0.19,0.08,0.6,-0.28,12,False
6,14,defense,18.57,24.01,1.33,0.35,1.06,-0.62,1,False
6,15,disc,18.18,24.49,0.66,0.77,1.56,1.15,0,False
7,1,offense,18.22,24.55,0.58,0.75,-1.13,-0.3,14,True
7,2,defense,28.53,20.81,0.5,0.09,-0.1,-0.64,3,False
7,3,offense,28.58,19.16,0.14,0.11,-0.24,-1.12,2,False
7,4,offense,30.2,19.05,0.04,0.13,0.59,-1.13,5,False
7,5,defense,31.0,20.86,-0.66,-0.55,-0.97,-0.86,4,False
7,6,offense,32.5,19.2,0.1,0.19,0.53,-0.01,7,False
7,7,defense,34.5,20.94,-0.8,-0.38,-0.4,0.16,6,False
7,8,offense,35.89,19.58,0.48,0.03,0.55,0.84,10,False
7,9,offense,37.67,19.39,0.08,0.07,-0.65,1.8,11,False
7,10,defense,37.59,22.0,0.42,0.13,-0.34,0.28,8,False
7,11,defense,39.61,20.65,0.77,0.01,-0.28,-0.75,9,False
7,12,offense,41.3,23.05,-0.06,0.29,0.15,0.79,13,False
7,13,defense,41.69,24.6,0.19,0.07,-0.02,-0.16,12,False
7,14,defense,18.66,24.04,1.21,0.25,-1.82,-1.38,1,False
7,15,disc,18.22,24.55,0.58,0.75,-1.13,-0.3,0,False
8,1,offense,18.27,24.6,0.51,0.77,-1.15,0.32,14,True
8,2,defense,28.57,20.82,0.44,0.07,-0.98,-0.33,3,False
8,3,offense,28.59,19.17,0.1,0.07,-0.65,-0.65,2,False
8,4,offense,30.2,19.05,0.01,0.08,-0.32,-0.81,5,False
8,5,defense,30.95,20.82,-0.69,-0.61,-0.49,-0.81,4,False
8,6,offense,32.51,19.22,0.08,0.15,-0.32,-0.65,7,False
8,7,defense,34.46,20.91,-0.7,-0.41,1.46,-0.48,6,False
8,8,offense,35.94,19.59,0.51,0.05,0.49,0.33,10,False
8,9,offense,37.67,19.4,0.04,0.02,-0.65,-0.65,11,False
8,10,defense,37.61,22.0,0.35,0.09,-1.13,-0.65,8,False
8,11,defense,39.66,20.65,0.68,-0.04,-1.29,-0.65,9,False
8,12,offense,41.3,23.07,-0.07,0.29,-0.16,-0.0,13,False
8,13,defense,41.7,24.6,0.08,0.04,-1.61,-0.33,12,False
8,14,defense,18.73,24.05,1.0,0.16,-3.11,-1.47,1,False
8,15,disc,18.27,24.6,0.51,0.77,-1.15,0.32,0,False
9,1,offense,18.3,24.63,0.41,0.75,-1.48,-0.33,14,True
9,2,defense,28.59,20.82,0.35,0.05,-1.3,-0.33,3,False
9,3,offense,28.6,19.18,0.06,0.07,-0.65,-0.0,2,False
9,4,offense,30.2,19.05,-0.01,0.02,-0.32,-0.81,5,False
9,5,defense,30.9,20.78,-0.66,-0.63,0.49,-0.32,4,False
9,6,offense,32.51,19.22,0.04,0.09,-0.65,-0.97,7,False
9,7,defense,34.41,20.89,-0.63,-0.46,0.97,-0.8,6,False
9,8,offense,35.97,19.6,0.52,0.04,0.16,-0.16,10,False
9,9,offense,37.67,19.4,-0.01,-0.04,-0.65,-0.97,11,False
9,10,defense,37.63,22.01,0.33,0.07,-0.32,-0.32,8,False
9,11,defense,39.7,20.65,0.61,-0.09,-1.13,-0.81,9,False
9,12,offense,41.29,23.09,-0.07,0.23,0.0,-0.96,13,False
9,13,defense,41.7,24.6,-0.06,0.0,-2.1,-0.65,12,False
9,14,defense,18.78,24.05,0.8,0.06,-2.95,-1.47,1,False
9,15,disc,18.3,24.63,0.41,0.75,-1.48,-0.33,0,False
10,1,offense,18.31,24.69,0.31,0.61,-1.48,-2.11,14,True
10,2,defense,28.61,20.82,0.24,0.0,-1.63,-0.65,3,False
10,3,offense,28.6,19.18,0.05,0.02,-0.16,-0.65,2,False
10,4,offense,30.2,19.05,-0.05,-0.02,-0.65,-0.65,5,False
10,5,defense,30.85,20.74,-0.56,-0.56,1.46,0.98,4,False
10,6,offense,32.51,19.22,-0.01,0.02,-0.65,-0.97,7,False
10,7,defense,34.39,20.86,-0.61,-0.5,0.32,-0.48,6,False
10,8,offense,36.01,19.6,0.46,0.0,-0.97,-0.49,10,False
10,9,offense,37.67,19.39,-0.05,-0.12,-0.65,-1.13,11,False
10,10,defense,37.64,22.01,0.33,0.05,0.0,-0.32,8,False
10,11,defense,39.73,20.64,0.54,-0.15,-0.97,-0.81,9,False
10,12,offense,41.27,23.1,-0.1,0.11,-0.48,-1.77,13,False
10,13,defense,41.68,24.6,-0.2,0.0,-2.1,-0.01,12,False
10,14,defense,18.81,24.04,0.58,-0.04,-3.28,-1.47,1,False
10,15,disc,18.31,24.69,0.31,0.61,-1.48,-2.11,0,False
11,1,offense,18.32,24.73,0.2,0.49,-1.64,-1.79,14,True
11,2,defense,28.61,20.82,0.13,-0.04,-1.63,-0.66,3,False
11,3,offense,28.59,19.18,0.04,-0.02,-0.16,-0.65,2,False
11,4,offense,30.19,19.05,-0.09,-0.04,-0.65,-0.33,5,False
11,5,defense,30.83,20.7,-0.43,-0.54,1.95,0.33,4,False
11,6,offense,32.51,19.22,-0.05,-0.04,-0.65,-0.97,7,False
11,7,defense,34.35,20.82,-0.67,-0.54,-0.81,-0.65,6,False
11,8,offense,36.04,19.6,0.33,-0.06,-1.94,-0.98,10,False
11,9,offense,37.66,19.37,-0.07,-0.21,-0.32,-1.45,11,False
11,10,defense,37.67,22.01,0.35,0.02,0.32,-0.32,8,False
11,11,defense,39.76,20.63,0.51,-0.24,-0.48,-1.45,9,False
11,12,offense,41.27,23.1,-0.2,0.01,-1.45,-1.45,13,False
11,13,defense,41.65,24.6,-0.32,-0.0,-1.77,-0.01,12,False
11,14,defense,18.84,24.03,0.39,-0.08,-2.95,-0.66,1,False
11,15,disc,18.32,24.73,0.2,0.49,-1.64,-1.79,0,False
12,1,offense,18.33,24.75,0.1,0.42,-1.48,-0.98,14,True
12,2,defense,28.61,20.81,0.04,-0.06,-1.47,-0.33,3,False
12,3,offense,28.6,19.17,-0.01,-0.09,-0.65,-0.97,2,False
12,4,offense,30.19,19.04,-0.14,-0.06,-0.65,-0.33,5,False
12,5,defense,30.81,20.67,-0.3,-0.53,1.95,0.17,4,False
12,6,offense,32.5,19.21,-0.07,-0.05,-0.32,-0.16,7,False
12,7,defense,34.3,20.78,-0.66,-0.6,0.16,-0.97,6,False
12,8,offense,36.05,19.58,0.22,-0.13,-1.62,-0.98,10,False
12,9,offense,37.65,19.35,-0.09,-0.33,-0.32,-1.77,11,False
12,10,defense,37.69,22.01,0.47,0.0,1.78,-0.31,8,False
12,11,defense,39.79,20.6,0.54,-0.39,0.49,-2.25,9,False
12,12,offense,41.26,23.08,-0.34,-0.03,-2.1,-0.65,13,False
12,13,defense,41.62,24.6,-0.39,0.02,-1.13,0.32,12,False
12,14,defense,18.85,24.02,0.29,-0.14,-1.48,-0.82,1,False
12,15,disc,18.33,24.75,0.1,0.42,-1.48,-0.98,0,False
13,1,offense,18.33,24.76,0.06,0.23,-0.66,-2.92,14,True
13,2,defense,28.61,20.8,-0.03,-0.09,-0.98,-0.33,3,False
13,3,offense,28.6,19.16,-0.02,-0.13,-0.16,-0.65,2,False
13,4,offense,30.17,19.03,-0.18,-0.11,-0.65,-0.65,5,False
13,5,defense,30.81,20.64,-0.14,-0.52,2.44,0.18,4,False
13,6,offense,32.49,19.2,-0.07,-0.04,0.0,0.16,7,False
13,7,defense,34.24,20.73,-0.72,-0.65,-0.97,-0.65,6,False
13,8,offense,36.05,19.57,0.13,-0.19,-1.29,-0.97,10,False
13,9,offense,37.65,19.33,-0.11,-0.4,-0.32,-0.97,11,False
13,10,defense,37.73,22.01,0.61,0.03,2.1,0.33,8,False
