frame,id,class,x,y,vx,vy,ax,ay,closest,holder
0,1,defense,1230.56,668.37,-5895.19,-3267.35,0.0,0.0,14,False
0,2,offense,951.38,766.35,-4448.74,-3774.44,0.0,0.0,3,False
0,3,defense,942.58,728.27,-4403.09,-3577.33,0.0,0.0,2,False
0,4,offense,902.5,765.69,-4195.53,-3770.88,0.0,0.0,5,False
0,5,defense,902.01,726.02,-4192.9,-3565.79,0.0,0.0,4,False
0,6,offense,873.16,785.47,-4043.09,-3873.43,0.0,0.0,11,False
0,7,offense,836.76,764.51,-3854.89,-3764.84,0.0,0.0,12,False
0,8,offense,804.07,764.01,-3685.73,-3762.25,0.0,0.0,9,False
0,9,defense,774.88,717.63,-3534.3,-3522.11,0.0,0.0,8,False
0,10,defense,858.92,655.11,-3969.65,-3198.81,0.0,0.0,13,False
0,11,defense,856.16,745.52,-3955.3,-3666.65,0.0,0.0,6,False
0,12,defense,839.98,727.65,-3871.43,-3574.08,0.0,0.0,7,False
0,13,offense,860.19,719.82,-3976.18,-3533.74,0.0,0.0,10,False
0,14,offense,1254.57,654.56,-6019.42,-3196.09,0.0,0.0,1,False
1,1,defense,51.54,14.89,-4421.51,-2450.37,22105.23,12254.56,14,False
1,2,offense,61.63,11.46,-3336.57,-2830.83,16682.62,14154.07,3,False
1,3,defense,61.96,12.8,-3302.27,-2682.94,16512.26,13415.8,2,False
1,4,offense,63.4,11.5,-3146.6,-2828.09,15733.92,14141.82,5,False
1,5,defense,63.43,12.87,-3144.59,-2674.31,15724.7,13372.08,4,False
1,6,offense,64.5,10.79,-3032.05,-2905.11,15165.55,14524.92,11,False
1,7,offense,65.78,11.54,-2891.1,-2823.66,14456.91,14117.69,12,False
1,8,offense,66.93,11.56,-2764.26,-2821.71,13822.06,14108.06,9,False
1,9,defense,68.0,13.2,-2650.62,-2641.44,13255.27,13210.05,8,False
1,10,defense,64.97,15.35,-2977.08,-2399.1,14888.58,11995.63,13,False
1,11,defense,65.07,12.19,-2966.26,-2749.95,14835.65,13750.48,6,False
1,12,defense,65.67,12.83,-2903.46,-2680.55,14519.47,13402.95,7,False
1,13,offense,64.94,13.09,-2981.88,-2650.44,14914.51,13249.54,10,False
1,14,offense,50.68,15.34,-4514.55,-2397.06,22572.98,11985.41,1,True
1,15,disc,50.68,15.34,0.01,0.01,0.0,0.0,0,False
2,1,defense,51.52,14.9,-3537.31,-1960.22,13262.96,7352.39,14,False
2,2,offense,61.63,11.46,-2669.26,-2264.64,10009.69,8492.94,3,False
2,3,defense,61.96,12.81,-2641.82,-2146.33,9906.71,8049.14,2,False
2,4,offense,63.39,11.51,-2517.26,-2262.46,9440.19,8484.44,5,False
2,5,defense,63.43,12.87,-2515.52,-2139.43,9435.98,8023.31,4,False
2,6,offense,64.54,10.79,-2425.47,-2324.12,9098.73,8714.86,11,False
2,7,offense,65.78,11.54,-2312.82,-2258.94,8674.08,8470.78,12,False
2,8,offense,66.93,11.56,-2211.35,-2257.4,8293.65,8464.75,9,False
2,9,defense,68.01,13.21,-2120.44,-2113.01,7952.72,7926.54,8,False
2,10,defense,64.99,15.35,-2381.5,-1919.25,8933.68,7197.73,13,False
2,11,defense,65.1,12.19,-2372.77,-2199.92,8902.35,8250.54,6,False
2,12,defense,65.7,12.83,-2322.67,-2144.42,8711.89,8041.97,7,False
2,13,offense,64.96,13.08,-2385.34,-2120.44,8948.06,7949.91,10,False
2,14,offense,50.68,15.34,-3611.62,-1917.65,13544.05,7191.19,1,True
2,15,disc,50.68,15.34,0.04,0.01,0.43,-0.03,0,False
3,1,defense,51.49,14.94,-3537.39,-1960.15,-1.2,1.03,14,False
