frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,defense,56.7,19.69,-2.02,0.0,0.0,0.0,7,False
1,2,defense,56.42,17.92,-2.03,0.07,0.0,0.0,8,False
1,3,defense,54.42,15.7,-1.96,0.12,0.0,0.0,10,False
1,4,defense,56.5,11.93,-1.77,0.29,0.0,0.0,11,False
1,5,defense,58.91,10.12,-1.87,0.42,0.0,0.0,9,False
1,6,defense,55.65,8.54,-2.15,0.25,0.0,0.0,13,False
1,7,offense,22.99,20.05,0.29,0.14,0.0,0.0,1,True
1,8,offense,38.76,13.6,1.25,0.41,0.0,0.0,2,False
1,9,offense,37.49,10.25,1.02,0.35,0.0,0.0,5,False
1,10,offense,36.95,12.43,1.31,0.04,0.0,0.0,3,False
1,11,offense,34.33,10.33,1.02,0.47,0.0,0.0,4,False
1,12,offense,30.34,12.71,-0.02,0.47,0.0,0.0,14,False
1,13,offense,31.58,8.79,0.91,0.51,0.0,0.0,6,False
1,14,defense,60.12,16.44,-1.84,0.03,0.0,0.0,12,False
1,15,disc,22.99,20.05,0.29,0.14,0.0,0.0,0,False
2,1,defense,56.49,19.7,-3.1,0.05,-16.22,0.65,7,False
2,2,defense,56.21,17.93,-2.83,0.04,-12.12,-0.33,8,False
2,3,defense,54.22,15.71,-3.02,0.19,-15.82,1.08,10,False
2,4,defense,56.3,11.95,-2.7,0.49,-13.99,2.96,11,False
2,5,defense,58.74,10.15,-2.65,0.59,-11.65,2.65,9,False
2,6,defense,55.45,8.57,-3.12,0.45,-14.49,2.94,13,False
2,7,offense,23.02,20.06,0.44,0.2,2.25,1.04,1,True
2,8,offense,38.89,13.64,1.91,0.53,9.92,1.76,2,False
2,9,offense,37.6,10.28,1.54,0.52,7.94,2.51,5,False
2,10,offense,37.07,12.42,1.98,0.05,10.07,0.09,3,False
2,11,offense,34.44,10.37,1.47,0.72,6.82,3.74,4,False
2,12,offense,30.34,12.75,-0.07,0.73,-0.79,3.76,14,False
2,13,offense,31.67,8.83,1.34,0.7,6.52,2.82,6,False
2,14,defense,59.94,16.45,-2.82,0.04,-14.7,0.08,12,False
2,15,disc,23.02,20.06,0.44,0.2,2.25,1.04,0,False
3,1,defense,56.29,19.69,-3.76,0.05,-9.94,0.07,7,False
3,2,defense,56.02,17.94,-3.34,0.03,-7.62,-0.27,8,False
3,3,defense,54.03,15.72,-3.54,0.28,-7.8,1.26,10,False
3,4,defense,56.14,11.99,-3.24,0.55,-8.11,0.86,11,False
3,5,defense,58.54,10.2,-3.17,0.68,-7.83,1.36,9,False
3,6,defense,55.22,8.59,-3.78,0.5,-9.85,0.7,13,False
3,7,offense,23.05,20.08,0.59,0.3,2.23,1.48,1,True
3,8,offense,39.01,13.68,2.31,0.58,6.0,0.74,2,False
3,9,offense,37.69,10.32,1.86,0.68,4.79,2.41,5,False
3,10,offense,37.21,12.43,2.42,0.09,6.51,0.58,3,False
3,11,offense,34.53,10.42,1.71,0.92,3.54,2.97,4,False
3,12,offense,30.34,12.81,-0.15,0.92,-1.11,2.9,14,False
3,13,offense,31.76,8.89,1.59,0.88,3.76,2.71,6,False
3,14,defense,59.76,16.45,-3.44,0.06,-9.32,0.43,12,False
3,15,disc,23.05,20.08,0.59,0.3,2.23,1.48,0,False
4,1,defense,55.87,19.7,-5.06,0.01,-19.41,-0.6,7,False
4,2,defense,55.67,17.93,-4.36,0.04,-15.3,0.18,8,False
4,3,defense,53.62,15.75,-4.72,0.38,-17.72,1.64,10,False
4,4,defense,55.78,12.06,-4.29,0.76,-15.69,3.14,11,False
4,5,defense,58.21,10.28,-4.2,0.89,-15.45,3.14,9,False
4,6,defense,54.82,8.66,-5.09,0.64,-19.7,2.21,13,False
4,7,offense,23.11,20.11,0.91,0.5,4.84,2.9,1,True
4,8,offense,39.27,13.74,3.08,0.71,11.55,1.99,2,False
4,9,offense,37.9,10.39,2.41,0.96,8.13,4.15,5,False
4,10,offense,37.48,12.44,3.06,0.14,9.71,0.79,3,False
4,11,offense,34.72,10.52,2.25,1.33,8.12,6.26,4,False
4,12,offense,30.32,12.91,-0.28,1.23,-1.98,4.6,14,False
4,13,offense,31.94,8.97,2.08,1.1,7.29,3.34,6,False
4,14,defense,59.37,16.45,-4.63,0.06,-17.78,-0.12,12,False
4,15,disc,23.11,20.11,0.91,0.5,4.84,2.9,0,False
5,1,defense,55.44,19.7,-5.75,-0.06,-10.35,-1.11,7,False
5,2,defense,55.31,17.93,-4.65,-0.01,-4.25,-0.64,8,False
5,3,defense,53.24,15.79,-5.31,0.43,-8.86,0.71,10,False
5,4,defense,55.42,12.11,-4.76,0.92,-7.12,2.51,11,False
5,5,defense,57.86,10.35,-4.67,0.97,-7.04,1.19,9,False
5,6,defense,54.4,8.7,-5.81,0.72,-10.86,1.15,13,False
5,7,offense,23.19,20.15,1.1,0.66,2.93,2.45,1,True
5,8,offense,39.53,13.79,3.44,0.69,5.43,-0.24,2,False
5,9,offense,38.11,10.47,2.53,1.15,1.87,2.85,5,False
5,10,offense,37.76,12.45,3.51,0.28,6.63,2.15,3,False
5,11,offense,34.9,10.63,2.39,1.62,2.14,4.29,4,False
5,12,offense,30.29,13.02,-0.44,1.38,-2.4,2.31,14,False
5,13,offense,32.11,9.08,2.28,1.25,3.04,2.31,6,False
5,14,defense,58.98,16.46,-5.23,0.05,-9.1,-0.15,12,False
5,15,disc,23.19,20.15,1.1,0.66,2.93,2.45,0,False
6,1,defense,55.01,19.69,-6.47,0.01,-10.79,1.02,7,False
6,2,defense,54.97,17.93,-5.03,-0.09,-5.83,-1.26,8,False
6,3,defense,52.85,15.83,-5.93,0.49,-9.27,0.93,10,False
6,4,defense,55.07,12.18,-5.47,1.03,-10.67,1.65,11,False
6,5,defense,57.51,10.42,-5.0,0.92,-4.88,-0.82,9,False
6,6,defense,53.96,8.75,-6.43,0.89,-9.32,2.46,13,False
6,7,offense,23.29,20.22,1.51,0.8,6.12,2.11,1,True
6,8,offense,39.79,13.83,3.82,0.7,5.65,0.06,2,False
6,9,offense,38.29,10.57,2.78,1.35,3.77,3.11,5,False
6,10,offense,37.97,12.47,3.77,0.24,3.91,-0.69,3,False
6,11,offense,35.08,10.77,2.59,1.8,3.01,2.75,4,False
6,12,offense,30.25,13.12,-0.65,1.38,-3.17,0.04,14,False
6,13,offense,32.27,9.15,2.45,1.28,2.57,0.47,6,False
6,14,defense,58.58,16.46,-5.88,0.09,-9.72,0.61,12,False
6,15,disc,23.29,20.22,1.51,0.8,6.12,2.11,0,False
7,1,defense,54.57,19.68,-6.52,-0.03,-0.86,-0.47,7,False
7,2,defense,54.66,17.92,-4.99,-0.12,0.64,-0.41,8,False
7,3,defense,52.45,15.86,-5.9,0.45,0.48,-0.68,10,False
7,4,defense,54.72,12.26,-5.51,1.06,-0.59,0.42,11,False
7,5,defense,57.18,10.47,-4.99,0.85,0.14,-1.05,9,False
7,6,defense,53.51,8.81,-6.65,0.89,-3.27,0.1,13,False
7,7,offense,23.39,20.28,1.78,0.93,3.97,1.97,1,True
7,8,offense,40.04,13.87,3.78,0.71,-0.6,0.18,2,False
7,9,offense,38.44,10.66,2.56,1.45,-3.39,1.44,5,False
7,10,offense,38.23,12.51,3.83,0.26,0.88,0.39,3,False
7,11,offense,35.24,10.91,2.57,1.81,-0.39,0.08,4,False
7,12,offense,30.19,13.21,-0.89,1.23,-3.57,-2.24,14,False
7,13,offense,32.43,9.25,2.42,1.2,-0.48,-1.26,6,False
7,14,defense,58.2,16.46,-5.88,0.11,-0.0,0.37,12,False
7,15,disc,23.39,20.28,1.78,0.93,3.97,1.97,0,False
8,1,defense,54.14,19.69,-6.56,-0.04,-0.48,-0.16,7,False
8,2,defense,54.34,17.91,-4.9,-0.14,1.32,-0.34,8,False
8,3,defense,52.05,15.89,-5.98,0.38,-1.21,-0.97,10,False
