frame,id,class,x,y,vx,vy,ax,ay,closest,holder
0,1,offense,1502.84,1044.42,-7303.71,-5216.36,0.0,0.0,12,False
0,2,offense,1598.19,725.23,-7796.5,-3564.11,0.0,0.0,5,False
0,3,defense,937.7,853.91,-4374.49,-4229.28,0.0,0.0,4,False
0,4,offense,914.27,830.47,-4253.54,-4107.76,0.0,0.0,3,False
0,5,defense,1478.33,714.57,-7175.87,-3508.97,0.0,0.0,2,False
0,6,offense,1430.44,785.83,-6927.02,-3877.27,0.0,0.0,9,False
0,7,defense,1443.37,941.4,-6993.88,-4682.29,0.0,0.0,10,False
0,8,offense,1393.5,989.05,-6735.86,-4928.87,0.0,0.0,11,False
0,9,defense,1522.09,846.79,-7402.08,-4193.41,0.0,0.0,6,False
0,10,offense,1419.1,880.4,-6867.92,-4366.81,0.0,0.0,7,False
0,11,defense,1381.35,1006.98,-6673.42,-5021.89,0.0,0.0,8,False
0,12,defense,1393.41,952.84,-6736.63,-4742.64,0.0,0.0,1,False
0,13,defense,1500.77,823.03,-7291.33,-4070.36,0.0,0.0,14,False
0,14,offense,1470.83,792.79,-7135.96,-3913.83,0.0,0.0,13,False
1,1,offense,42.12,1.15,-5477.99,-3912.23,27385.86,19561.93,12,True
1,2,offense,38.73,12.4,-5846.23,-2673.1,29254.06,13365.23,5,False
1,3,defense,62.75,8.08,-3280.59,-3172.18,16408.5,15856.47,4,False
1,4,offense,63.56,8.93,-3190.09,-3080.91,15951.8,15402.83,3,False
1,5,defense,43.06,12.79,-5381.18,-2631.97,26920.4,13155.14,2,False
1,6,offense,44.87,10.33,-5194.02,-2907.69,25995.03,14543.74,9,False
1,7,defense,44.43,4.88,-5244.38,-3511.26,26242.58,17565.52,10,False
1,8,offense,46.24,3.2,-5051.12,-3696.24,25271.12,18489.46,11,False
1,9,defense,41.53,8.11,-5550.51,-3145.1,27773.5,15724.65,6,False
1,10,offense,45.33,7.01,-5149.73,-3274.96,25772.85,16377.73,7,False
1,11,defense,46.62,2.56,-5004.73,-3766.14,25030.45,18836.21,8,False
1,12,defense,46.11,4.38,-5052.62,-3557.32,25260.1,17779.83,1,False
1,13,defense,42.33,8.98,-5467.24,-3052.9,27361.4,15261.91,14,False
1,14,offense,43.46,10.04,-5350.48,-2935.55,26782.24,14674.17,13,False
1,15,disc,42.12,1.15,-0.4,0.06,0.0,0.0,0,False
2,1,offense,42.09,1.15,-4382.57,-3129.75,16431.32,11737.13,12,True
2,2,offense,38.89,12.41,-4676.01,-2138.48,17553.27,8019.22,5,False
2,3,defense,62.8,8.06,-2624.26,-2537.91,9845.03,9514.03,4,False
2,4,offense,63.56,8.92,-2552.03,-2464.82,9570.83,9241.37,3,False
2,5,defense,43.15,12.77,-4304.38,-2105.75,16151.97,7893.28,2,False
2,6,offense,45.04,10.37,-4154.24,-2325.96,15596.7,8725.96,9,False
2,7,defense,44.59,4.94,-4194.64,-2808.6,15746.0,10539.8,10,False
2,8,offense,46.33,3.27,-4040.22,-2956.68,15163.49,11093.42,11,False
2,9,defense,41.67,8.11,-4439.59,-2516.11,16663.94,9434.85,6,False
2,10,offense,45.52,7.04,-4118.69,-2619.88,15465.65,9826.15,7,False
2,11,defense,46.66,2.6,-4003.49,-3012.64,15018.57,11302.49,8,False
2,12,defense,46.09,4.31,-4042.16,-2846.11,15156.94,10668.18,1,False
2,13,defense,42.51,8.95,-4372.64,-2442.4,16418.96,9157.48,14,False
2,14,offense,43.64,10.02,-4279.25,-2348.58,16068.47,8804.56,13,False
2,15,disc,42.09,1.15,-0.52,0.08,-1.83,0.34,0,False
3,1,offense,42.04,1.16,-4382.68,-3129.67,-1.65,1.2,12,True
3,2,offense,39.19,12.4,-4675.08,-2138.53,13.92,-0.69,5,False
3,3,defense,62.88,8.0,-2624.08,-2538.02,2.61,-1.61,4,False
3,4,offense,63.58,8.9,-2551.98,-2464.93,0.83,-1.69,3,False
3,5,defense,43.35,12.71,-4303.76,-2105.95,9.37,-3.06,2,False
3,6,offense,45.37,10.44,-4153.31,-2325.78,13.83,2.75,9,False
3,7,defense,44.87,5.07,-4193.74,-2808.29,13.54,4.65,10,False
3,8,offense,46.54,3.38,-4039.58,-2956.41,9.58,4.1,11,False
3,9,defense,41.95,8.1,-4438.72,-2516.12,12.99,-0.14,6,False
3,10,offense,45.84,7.08,-4117.76,-2619.81,13.9,1.08,7,False
3,11,defense,46.76,2.67,-4003.15,-3012.4,5.03,3.55,8,False
3,12,defense,46.05,4.22,-4042.27,-2846.31,-1.65,-3.06,1,False
3,13,defense,42.84,8.92,-4371.6,-2442.52,15.55,-1.91,14,False
3,14,offense,44.04,9.97,-4278.05,-2348.73,17.93,-2.19,13,False
3,15,disc,42.04,1.16,-0.53,0.15,-0.09,0.95,0,False
4,1,offense,41.98,1.17,-0.64,0.22,65730.59,46948.44,12,True
4,2,offense,39.52,12.4,4.19,-0.08,70189.17,32076.8,5,False
4,3,defense,62.95,7.94,0.91,-0.67,39374.88,38060.17,4,False
4,4,offense,63.6,8.86,0.24,-0.45,38283.3,36967.16,3,False
4,5,defense,43.53,12.65,2.65,-0.86,64596.14,31576.38,2,False
4,6,offense,45.7,10.51,4.38,0.99,62365.43,34901.54,9,False
4,7,defense,45.15,5.2,4.03,1.58,62966.49,42148.03,10,False
4,8,offense,46.77,3.49,2.87,1.41,60636.66,44367.2,11,False
4,9,defense,42.23,8.09,3.76,-0.11,66637.21,37740.25,6,False
4,10,offense,46.21,7.11,4.56,0.41,61834.78,39303.2,7,False
4,11,defense,46.85,2.76,1.41,1.07,60068.38,45202.11,8,False
4,12,defense,46.03,4.13,-0.39,-1.1,60628.16,42678.16,1,False
4,13,defense,43.23,8.89,4.8,-0.56,65646.03,36629.39,14,False
4,14,offense,44.42,9.93,5.21,-0.65,64248.97,35221.18,13,False
4,15,disc,41.98,1.17,-0.64,0.22,-1.72,1.17,0,False
5,1,offense,41.94,1.19,-0.67,0.31,-0.41,1.33,12,True
