frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,defense,46.05,24.16,-2.34,-0.79,0.0,0.0,5,False
1,2,defense,52.38,27.58,-1.64,-0.76,0.0,0.0,10,False
1,3,offense,30.28,20.93,0.16,-0.1,0.0,0.0,8,False
1,4,offense,20.55,16.59,-0.31,-0.12,0.0,0.0,14,False
1,5,offense,12.66,16.26,-0.79,-0.49,0.0,0.0,1,True
1,6,offense,25.92,24.47,0.8,-0.33,0.0,0.0,12,False
1,7,offense,31.33,26.34,0.27,-0.62,0.0,0.0,13,False
1,8,defense,49.97,20.96,-2.14,-0.3,0.0,0.0,3,False
1,9,offense,31.27,31.23,1.11,-0.7,0.0,0.0,11,False
1,10,offense,33.4,27.55,0.8,-1.0,0.0,0.0,2,False
1,11,defense,55.96,30.38,-1.43,-0.34,0.0,0.0,9,False
1,12,defense,52.28,23.82,-1.83,-0.21,0.0,0.0,6,False
1,13,defense,52.81,25.74,-1.85,-0.35,0.0,0.0,7,False
1,14,defense,50.67,18.14,-2.1,-0.19,0.0,0.0,4,False
1,15,disc,12.66,16.26,-0.79,-0.49,0.0,0.0,0,False
2,1,defense,45.81,24.09,-3.52,-1.14,-17.67,-5.28,5,False
2,2,defense,52.22,27.5,-2.37,-1.02,-10.86,-3.85,10,False
2,3,offense,30.29,20.93,0.23,-0.17,1.17,-1.05,8,False
2,4,offense,20.51,16.58,-0.55,-0.2,-3.69,-1.26,14,False
2,5,offense,12.55,16.21,-1.24,-0.77,-6.66,-4.27,1,True
2,6,offense,26.0,24.45,1.08,-0.44,4.14,-1.7,12,False
2,7,offense,31.36,26.28,0.35,-0.9,1.2,-4.28,13,False
2,8,defense,49.76,20.93,-3.31,-0.42,-17.47,-1.77,3,False
2,9,offense,31.39,31.15,1.51,-0.94,6.05,-3.57,11,False
2,10,offense,33.47,27.45,1.18,-1.28,5.79,-4.32,2,False
2,11,defense,55.82,30.35,-2.08,-0.52,-9.73,-2.71,9,False
2,12,defense,52.12,23.79,-2.66,-0.28,-12.46,-1.02,6,False
2,13,defense,52.62,25.71,-2.72,-0.51,-12.91,-2.28,7,False
2,14,defense,50.46,18.12,-2.94,-0.31,-12.58,-1.77,4,False
2,15,disc,12.55,16.21,-1.24,-0.77,-6.66,-4.27,0,False
3,1,defense,45.59,24.01,-4.27,-1.41,-11.3,-3.98,5,False
3,2,defense,52.05,27.42,-2.87,-1.2,-7.6,-2.76,10,False
3,3,offense,30.32,20.91,0.27,-0.23,0.62,-0.83,8,False
3,4,offense,20.49,16.57,-0.69,-0.27,-2.04,-1.05,14,False
3,5,offense,12.5,16.16,-1.68,-0.87,-6.57,-1.43,1,True
3,6,offense,26.08,24.4,1.26,-0.53,2.81,-1.35,12,False
3,7,offense,31.38,26.22,0.48,-1.12,2.07,-3.24,13,False
3,8,defense,49.54,20.9,-4.15,-0.43,-12.61,-0.23,3,False
3,9,offense,31.49,31.09,1.79,-1.1,4.12,-2.47,11,False
3,10,offense,33.56,27.35,1.45,-1.51,3.96,-3.41,2,False
3,11,defense,55.67,30.31,-2.51,-0.64,-6.5,-1.79,9,False
3,12,defense,51.92,23.78,-3.29,-0.29,-9.49,-0.18,6,False
3,13,defense,52.44,25.67,-3.35,-0.58,-9.5,-1.15,7,False
3,14,defense,50.25,18.1,-3.51,-0.39,-8.62,-1.2,4,False
3,15,disc,12.5,16.16,-1.68,-0.87,-6.57,-1.43,0,False
4,1,defense,45.12,23.86,-5.67,-1.96,-21.04,-8.24,5,False
4,2,defense,51.75,27.3,-3.85,-1.58,-14.69,-5.64,10,False
4,3,offense,30.35,20.89,0.32,-0.33,0.67,-1.52,8,False
4,4,offense,20.4,16.54,-0.91,-0.41,-3.38,-1.99,14,False
4,5,offense,12.33,16.05,-2.37,-1.17,-10.45,-4.56,1,True
4,6,offense,26.2,24.35,1.58,-0.71,4.73,-2.67,12,False
4,7,offense,31.42,26.1,0.64,-1.57,2.29,-6.77,13,False
4,8,defense,49.09,20.85,-5.56,-0.47,-21.21,-0.66,3,False
4,9,offense,31.67,30.98,2.35,-1.46,8.5,-5.29,11,False
4,10,offense,33.72,27.21,1.87,-2.05,6.32,-8.07,2,False
4,11,defense,55.4,30.24,-3.4,-0.94,-13.24,-4.51,9,False
4,12,defense,51.57,23.75,-4.4,-0.36,-16.64,-1.01,6,False
4,13,defense,52.09,25.61,-4.56,-0.72,-18.13,-2.01,7,False
4,14,defense,49.88,18.06,-4.66,-0.53,-17.27,-2.13,4,False
4,15,disc,12.33,16.05,-2.37,-1.17,-10.45,-4.56,0,False
5,1,defense,44.63,23.69,-6.42,-2.25,-11.19,-4.38,5,False
5,2,defense,51.42,27.18,-4.29,-1.69,-6.58,-1.75,10,False
5,3,offense,30.38,20.86,0.29,-0.44,-0.44,-1.64,8,False
5,4,offense,20.32,16.5,-1.1,-0.47,-2.82,-1.04,14,False
5,5,offense,12.1,15.97,-2.74,-1.34,-5.45,-2.56,1,True
5,6,offense,26.34,24.29,1.49,-0.83,-1.26,-1.83,12,False
5,7,offense,31.49,25.97,0.68,-1.81,0.68,-3.64,13,False
5,8,defense,48.59,20.82,-6.45,-0.4,-13.29,1.13,3,False
5,9,offense,31.87,30.86,2.43,-1.44,1.19,0.29,11,False
5,10,offense,33.89,27.04,2.18,-2.16,4.68,-1.61,2,False
5,11,defense,55.12,30.16,-3.87,-1.16,-7.04,-3.27,9,False
5,12,defense,51.18,23.72,-5.09,-0.3,-10.39,0.82,6,False
5,13,defense,51.69,25.55,-5.1,-0.78,-8.13,-0.98,7,False
5,14,defense,49.5,18.01,-5.15,-0.63,-7.22,-1.52,4,False
5,15,disc,12.1,15.97,-2.74,-1.34,-5.45,-2.56,0,False
6,1,defense,44.16,23.51,-7.29,-2.52,-13.11,-3.96,5,False
6,2,defense,51.1,27.05,-4.69,-1.71,-6.02,-0.22,10,False
6,3,offense,30.39,20.82,0.13,-0.51,-2.38,-1.11,8,False
