frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,defense,61.8,24.66,-1.48,0.04,0.0,0.0,6,False
1,2,defense,55.46,17.83,-2.2,0.45,0.0,0.0,9,False
1,3,defense,56.44,16.07,-1.53,0.33,0.0,0.0,10,False
1,4,defense,57.94,12.33,-2.08,0.29,0.0,0.0,11,False
1,5,defense,51.98,11.4,-2.44,1.07,0.0,0.0,13,False
1,6,offense,29.29,24.88,1.14,0.05,0.0,0.0,1,False
1,7,offense,26.21,22.61,-0.31,-0.38,0.0,0.0,12,False
1,8,offense,28.49,18.85,1.09,-0.01,0.0,0.0,14,False
1,9,offense,31.8,17.86,1.27,0.36,0.0,0.0,2,False
1,10,offense,28.6,17.01,0.74,0.32,0.0,0.0,3,False
1,11,offense,28.42,13.74,0.89,0.4,0.0,0.0,4,False
1,12,defense,54.56,22.4,-2.24,0.15,0.0,0.0,7,False
1,13,offense,17.65,22.65,0.34,1.0,0.0,0.0,5,True
1,14,defense,62.08,19.12,-1.37,0.08,0.0,0.0,8,False
1,15,disc,17.65,22.65,0.34,1.0,0.0,0.0,0,False
2,1,defense,61.65,24.67,-2.25,0.19,-11.51,2.23,6,False
2,2,defense,55.24,17.88,-3.26,0.67,-15.9,3.26,9,False
2,3,defense,56.3,16.11,-2.34,0.6,-12.17,3.9,10,False
2,4,defense,57.74,12.35,-3.09,0.51,-15.13,3.33,11,False
2,5,defense,51.76,11.5,-3.7,1.7,-18.87,9.45,13,False
2,6,offense,29.4,24.87,1.64,0.05,7.6,-0.08,1,False
2,7,offense,26.18,22.58,-0.46,-0.54,-2.2,-2.4,12,False
2,8,offense,28.6,18.85,1.63,-0.04,8.11,-0.48,14,False
2,9,offense,31.92,17.89,1.82,0.53,8.33,2.65,2,False
2,10,offense,28.67,17.04,1.13,0.45,5.94,1.83,3,False
2,11,offense,28.51,13.78,1.3,0.53,6.15,2.0,4,False
2,12,defense,54.33,22.41,-3.33,0.28,-16.43,1.89,7,False
2,13,offense,17.69,22.74,0.45,1.62,1.61,9.41,5,True
2,14,defense,61.94,19.13,-2.13,0.09,-11.37,0.22,8,False
2,15,disc,17.69,22.74,0.45,1.62,1.61,9.41,0,False
3,1,defense,61.51,24.67,-2.78,0.19,-7.93,0.07,6,False
3,2,defense,55.02,17.92,-3.91,0.78,-9.8,1.62,9,False
3,3,defense,56.13,16.14,-2.81,0.71,-6.99,1.78,10,False
