frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,offense,56.94,16.27,-0.05,-0.08,0.0,0.0,14,True
1,2,offense,63.5,21.3,0.21,0.08,0.0,0.0,3,False
1,3,defense,64.12,20.12,0.33,-0.07,0.0,0.0,2,False
1,4,defense,68.25,21.11,0.18,-0.35,0.0,0.0,5,False
1,5,offense,69.31,21.11,0.23,-0.27,0.0,0.0,4,False
1,6,defense,69.77,20.22,0.41,0.09,0.0,0.0,7,False
1,7,offense,70.37,19.26,0.22,0.07,0.0,0.0,6,False
1,8,offense,73.31,22.31,0.42,-0.25,0.0,0.0,9,False
1,9,defense,74.06,21.51,0.34,-0.1,0.0,0.0,8,False
1,10,defense,75.55,22.97,0.64,0.15,0.0,0.0,12,False
1,11,defense,75.37,19.49,0.78,0.12,0.0,0.0,13,False
1,12,offense,76.86,21.71,0.31,0.17,0.0,0.0,10,False
1,13,offense,78.49,19.66,0.4,0.4,0.0,0.0,11,False
1,14,defense,57.97,16.65,-0.12,-0.03,0.0,0.0,1,False
1,15,disc,56.94,16.27,-0.05,-0.08,0.0,0.0,0,False
2,1,offense,56.94,16.26,-0.09,-0.09,-0.56,-0.16,14,True
2,2,offense,63.52,21.31,0.36,0.15,2.28,1.08,3,False
2,3,defense,64.14,20.11,0.46,-0.05,1.99,0.35,2,False
2,4,defense,68.26,21.08,0.3,-0.59,1.75,-3.7,5,False
2,5,offense,69.34,21.09,0.33,-0.41,1.56,-2.12,4,False
2,6,defense,69.82,20.23,0.6,0.21,2.88,1.93,7,False
2,7,offense,70.39,19.26,0.32,0.14,1.56,1.14,6,False
2,8,offense,73.36,22.29,0.51,-0.45,1.38,-3.06,9,False
2,9,defense,74.09,21.51,0.55,-0.14,3.19,-0.59,8,False
2,10,defense,75.62,22.98,0.87,0.19,3.42,0.6,12,False
2,11,defense,75.45,19.5,1.12,0.2,5.1,1.12,13,False
2,12,offense,76.88,21.73,0.5,0.25,2.92,1.2,10,False
2,13,offense,78.52,19.71,0.71,0.6,4.6,2.99,11,False
2,14,defense,57.96,16.64,-0.19,-0.01,-1.03,0.28,1,False
2,15,disc,56.94,16.26,-0.09,-0.09,-0.56,-0.16,0,False
3,1,offense,56.93,16.25,-0.07,-0.09,0.22,-0.08,14,True
3,2,offense,63.54,21.32,0.46,0.16,1.47,0.15,3,False
3,3,defense,64.19,20.1,0.57,-0.04,1.66,0.09,2,False
3,4,defense,68.28,21.04,0.33,-0.65,0.5,-0.86,5,False
3,5,offense,69.36,21.06,0.38,-0.47,0.73,-0.93,4,False
3,6,defense,69.85,20.24,0.67,0.27,1.07,0.76,7,False
3,7,offense,70.41,19.27,0.39,0.23,1.11,1.32,6,False
3,8,offense,73.39,22.26,0.61,-0.55,1.48,-1.47,9,False
3,9,defense,74.13,21.5,0.69,-0.21,2.01,-1.13,8,False
3,10,defense,75.68,23.0,0.95,0.23,1.22,0.49,12,False
3,11,defense,75.52,19.51,1.3,0.25,2.75,0.77,13,False
3,12,offense,76.92,21.75,0.66,0.33,2.34,1.12,10,False
3,13,offense,78.57,19.74,0.84,0.64,2.05,0.57,11,False
3,14,defense,57.95,16.64,-0.15,0.02,0.52,0.5,1,False
3,15,disc,56.93,16.25,-0.07,-0.09,0.22,-0.08,0,False
4,1,offense,56.92,16.24,-0.08,-0.12,-0.04,-0.34,14,True
4,2,offense,63.6,21.34,0.62,0.18,2.4,0.27,3,False
4,3,defense,64.24,20.1,0.8,-0.05,3.37,-0.06,2,False
4,4,defense,68.33,20.95,0.48,-0.81,2.22,-2.33,5,False
4,5,offense,69.4,21.0,0.42,-0.57,0.59,-1.49,4,False
4,6,defense,69.93,20.28,0.79,0.4,1.75,2.07,7,False
4,7,offense,70.45,19.3,0.58,0.38,2.72,2.22,6,False
4,8,offense,73.44,22.19,0.74,-0.73,1.89,-2.65,9,False
4,9,defense,74.21,21.48,0.88,-0.29,2.86,-1.2,8,False
4,10,defense,75.78,23.02,1.25,0.27,4.49,0.73,12,False
4,11,defense,75.67,19.54,1.75,0.39,6.76,2.17,13,False
4,12,offense,76.99,21.78,0.96,0.45,4.49,1.87,10,False
4,13,offense,78.67,19.82,1.16,0.86,4.81,3.33,11,False
4,14,defense,57.92,16.64,-0.2,0.02,-0.69,-0.01,1,False
4,15,disc,56.92,16.24,-0.08,-0.12,-0.04,-0.34,0,False
5,1,offense,56.92,16.23,-0.06,-0.07,0.24,0.74,14,True
5,2,offense,63.65,21.35,0.65,0.15,0.42,-0.49,3,False
5,3,defense,64.31,20.1,0.97,0.03,2.53,1.14,2,False
5,4,defense,68.36,20.89,0.61,-0.87,1.96,-0.93,5,False
