frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,offense,35.52,24.67,0.16,-0.05,0.0,0.0,14,False
1,2,offense,33.86,23.61,0.02,-0.25,0.0,0.0,3,False
1,3,defense,33.28,21.97,-0.0,-0.17,0.0,0.0,2,False
1,4,defense,31.46,23.55,0.02,-0.0,0.0,0.0,5,False
1,5,offense,31.69,21.66,0.11,-0.03,0.0,0.0,4,False
1,6,defense,30.42,23.34,0.13,-0.13,0.0,0.0,7,False
1,7,offense,30.12,22.03,-0.06,-0.11,0.0,0.0,6,False
1,8,defense,29.07,22.86,0.01,-0.03,0.0,0.0,11,False
1,9,defense,28.32,22.82,-0.03,0.07,0.0,0.0,10,False
1,10,offense,27.82,22.14,-0.3,0.25,0.0,0.0,9,False
1,11,offense,28.62,21.75,0.12,0.18,0.0,0.0,8,False
1,12,defense,19.55,20.88,0.14,-0.12,0.0,0.0,13,False
1,13,offense,17.73,21.33,0.27,0.09,0.0,0.0,12,True
1,14,defense,36.19,25.09,0.02,-0.09,0.0,0.0,1,False
1,15,disc,17.73,21.33,0.27,0.09,0.0,0.0,0,False
2,1,offense,35.54,24.67,0.23,-0.04,1.0,0.14,14,False
2,2,offense,33.86,23.59,0.04,-0.41,0.27,-2.34,3,False
2,3,defense,33.28,21.95,-0.01,-0.27,-0.04,-1.54,2,False
2,4,defense,31.46,23.55,0.06,-0.06,0.53,-0.81,5,False
2,5,offense,31.7,21.66,0.18,-0.07,1.05,-0.57,4,False
2,6,defense,30.44,23.33,0.16,-0.17,0.35,-0.61,7,False
2,7,offense,30.12,22.02,-0.09,-0.2,-0.53,-1.24,6,False
2,8,defense,29.07,22.85,0.02,-0.09,0.02,-0.79,11,False
2,9,defense,28.32,22.83,-0.02,0.06,0.1,-0.09,10,False
2,10,offense,27.77,22.19,-0.2,0.17,1.42,-1.24,9,False
2,11,offense,28.63,21.77,0.15,0.31,0.41,1.84,8,False
2,12,defense,19.56,20.86,0.26,-0.16,1.9,-0.69,13,False
2,13,offense,17.76,21.33,0.35,0.17,1.25,1.28,12,True
2,14,defense,36.19,25.08,-0.04,-0.12,-0.93,-0.4,1,False
2,15,disc,17.76,21.33,0.35,0.17,1.25,1.28,0,False
3,1,offense,35.55,24.66,0.25,-0.06,0.44,-0.2,14,False
3,2,offense,33.87,23.56,0.03,-0.52,-0.09,-1.69,3,False
3,3,defense,33.28,21.94,0.04,-0.31,0.67,-0.65,2,False
3,4,defense,31.47,23.55,0.12,-0.07,0.95,-0.16,5,False
3,5,offense,31.71,21.65,0.27,-0.08,1.39,-0.12,4,False
3,6,defense,30.45,23.32,0.15,-0.21,-0.15,-0.64,7,False
3,7,offense,30.11,22.01,-0.1,-0.24,-0.04,-0.72,6,False
3,8,defense,29.07,22.85,0.07,-0.1,0.75,-0.24,11,False
3,9,defense,28.31,22.84,-0.04,0.12,-0.29,0.93,10,False
3,10,offense,27.76,22.19,0.01,0.08,3.19,-1.31,9,False
3,11,offense,28.64,21.78,0.16,0.31,0.18,0.03,8,False
3,12,defense,19.58,20.85,0.36,-0.15,1.47,0.16,13,False
3,13,offense,17.79,21.34,0.37,0.19,0.21,0.28,12,True
3,14,defense,36.19,25.07,-0.03,-0.1,0.11,0.35,1,False
3,15,disc,17.79,21.34,0.37,0.19,0.21,0.28,0,False
4,1,offense,35.58,24.66,0.33,-0.13,1.13,-1.13,14,False
4,2,offense,33.87,23.5,0.03,-0.72,0.02,-3.06,3,False
4,3,defense,33.28,21.9,0.06,-0.41,0.33,-1.46,2,False
4,4,defense,31.48,23.54,0.14,-0.13,0.32,-0.98,5,False
4,5,offense,31.74,21.64,0.39,-0.1,1.76,-0.33,4,False
4,6,defense,30.46,23.3,0.17,-0.34,0.33,-1.94,7,False
4,7,offense,30.1,21.98,-0.12,-0.3,-0.33,-0.82,6,False
4,8,defense,29.08,22.84,0.14,-0.08,1.11,0.31,11,False
