frame,id,class,x,y,vx,vy,ax,ay,closest,holder
0,1,defense,539.93,457.19,-2614.81,-2211.24,0.0,0.0,2,False
0,2,offense,565.53,432.38,-2738.48,-2091.76,0.0,0.0,1,False
0,3,offense,703.94,430.27,-3405.03,-2081.67,0.0,0.0,12,False
0,4,defense,887.85,363.6,-4292.33,-1759.62,0.0,0.0,7,False
0,5,offense,965.72,265.19,-4666.47,-1284.7,0.0,0.0,6,False
0,6,defense,1112.88,203.6,-5375.24,-987.26,0.0,0.0,5,False
0,7,offense,1079.58,304.32,-5215.5,-1473.29,0.0,0.0,4,False
0,8,defense,1142.36,595.15,-5518.5,-2876.56,0.0,0.0,9,False
0,9,offense,1082.42,520.32,-5229.42,-2515.82,0.0,0.0,8,False
0,10,offense,928.18,465.57,-4485.74,-2251.13,0.0,0.0,11,False
0,11,defense,883.97,495.4,-4273.74,-2395.72,0.0,0.0,10,False
0,12,defense,721.85,592.46,-3492.58,-2863.46,0.0,0.0,3,False
0,13,offense,597.79,714.32,-2894.22,-3452.73,0.0,0.0,14,False
0,14,defense,608.82,730.72,-2947.23,-3531.86,0.0,0.0,13,False
1,1,defense,16.98,14.86,-1961.16,-1657.86,9804.82,8300.74,2,False
1,2,offense,17.87,13.97,-2054.21,-1568.36,10263.98,7850.91,1,False
1,3,offense,22.92,13.91,-2553.7,-1560.98,12769.87,7810.27,12,False
1,4,defense,29.49,11.62,-3219.98,-1319.25,16085.17,6605.65,7,False
1,5,offense,32.43,8.19,-3499.9,-963.1,17498.51,4824.04,6,False
1,6,defense,37.81,6.08,-4031.32,-739.96,20158.85,3709.51,5,False
1,7,offense,36.51,9.59,-3911.85,-1104.52,19554.75,5531.55,4,False
1,8,defense,38.71,19.8,-4139.2,-2157.03,20689.51,10792.94,9,False
1,9,offense,36.56,17.13,-3922.28,-1886.62,19606.98,9438.05,8,False
1,10,offense,31.03,15.24,-3364.25,-1687.43,16822.41,8455.49,11,False
1,11,defense,29.31,16.22,-3205.98,-1796.46,16016.37,8988.86,10,False
1,12,defense,23.41,19.66,-2619.9,-2146.79,13090.29,10750.01,3,False
1,13,offense,18.96,23.78,-2170.83,-2589.62,10850.92,12946.79,14,True
1,14,defense,19.37,24.36,-2210.46,-2648.99,11051.6,13243.04,13,False
1,15,disc,18.96,23.78,-0.33,-0.13,0.0,0.0,0,False
2,1,defense,16.97,14.94,-1568.93,-1325.84,5883.41,4980.34,2,False
2,2,offense,17.83,14.03,-1643.62,-1254.31,6158.92,4710.81,1,False
2,3,offense,22.93,13.94,-2042.95,-1248.57,7661.32,4686.2,12,False
2,4,defense,29.38,11.68,-2576.49,-1054.93,9652.39,3964.83,7,False
2,5,offense,32.43,8.25,-2799.95,-770.2,10499.31,2893.52,6,False
2,6,defense,37.83,6.15,-3224.95,-591.54,12095.57,2226.3,5,False
2,7,offense,36.48,9.66,-3129.65,-883.26,11733.03,3318.97,4,False
2,8,defense,38.66,19.84,-3311.56,-1725.35,12414.58,6475.18,9,False
