frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,defense,38.71,36.0,-0.54,-0.34,0.0,0.0,14,False
1,2,defense,48.24,32.66,0.39,-0.28,0.0,0.0,4,False
1,3,defense,42.12,31.92,0.48,0.52,0.0,0.0,7,False
1,4,offense,53.1,28.88,0.2,-0.26,0.0,0.0,2,False
1,5,offense,54.35,21.82,1.68,0.09,0.0,0.0,6,False
1,6,defense,47.37,24.99,2.06,-0.06,0.0,0.0,5,False
1,7,offense,46.18,27.21,0.1,-0.44,0.0,0.0,3,False
1,8,defense,41.92,28.32,0.38,0.14,0.0,0.0,9,False
1,9,offense,41.66,27.21,0.33,0.4,0.0,0.0,8,False
1,10,offense,41.75,24.68,1.11,-0.3,0.0,0.0,11,False
1,11,defense,40.5,24.92,1.1,-0.08,0.0,0.0,10,False
1,12,defense,32.89,26.36,0.9,-0.07,0.0,0.0,13,False
1,13,offense,31.52,24.67,0.85,-0.44,0.0,0.0,12,False
1,14,offense,36.31,35.82,-0.08,-0.26,0.0,0.0,1,True
1,15,disc,36.31,35.82,-0.08,-0.26,0.0,0.0,0,False
2,1,defense,38.66,35.98,-0.73,-0.51,-2.72,-2.45,14,False
2,2,defense,48.28,32.63,0.59,-0.46,3.11,-2.73,4,False
2,3,defense,42.16,31.98,0.72,0.83,3.61,4.68,7,False
2,4,offense,53.12,28.86,0.31,-0.38,1.61,-1.94,2,False
2,5,offense,54.51,21.82,2.49,0.21,12.21,1.66,6,False
2,6,defense,47.58,24.98,3.04,-0.07,14.74,-0.15,5,False
2,7,offense,46.19,27.17,0.13,-0.67,0.52,-3.38,3,False
2,8,defense,41.96,28.34,0.57,0.2,2.87,0.88,9,False
2,9,offense,41.69,27.24,0.49,0.53,2.46,2.04,8,False
2,10,offense,41.86,24.65,1.61,-0.36,7.43,-0.89,11,False
2,11,defense,40.62,24.91,1.7,-0.07,9.0,0.15,10,False
2,12,defense,32.98,26.35,1.35,-0.06,6.69,0.22,13,False
2,13,offense,31.59,24.62,1.24,-0.65,5.93,-3.12,12,False
2,14,offense,36.3,35.78,-0.14,-0.3,-0.8,-0.68,1,True
2,15,disc,36.3,35.78,-0.14,-0.3,-0.8,-0.68,0,False
3,1,defense,38.6,35.93,-0.92,-0.63,-2.91,-1.81,14,False
3,2,defense,48.32,32.6,0.67,-0.54,1.16,-1.22,4,False
3,3,defense,42.21,32.02,0.93,0.99,3.16,2.37,7,False
3,4,offense,53.14,28.83,0.37,-0.48,0.87,-1.46,2,False
3,5,offense,54.69,21.84,2.97,0.22,7.11,0.27,6,False
3,6,defense,47.78,24.98,3.77,-0.06,10.89,0.02,5,False
3,7,offense,46.2,27.13,0.19,-0.86,0.93,-2.86,3,False
3,8,defense,42.0,28.35,0.71,0.25,1.99,0.7,9,False
3,9,offense,41.72,27.29,0.69,0.65,3.03,1.8,8,False
3,10,offense,41.97,24.62,1.93,-0.39,4.83,-0.48,11,False
3,11,defense,40.72,24.9,2.07,-0.05,5.5,0.29,10,False
3,12,defense,33.07,26.34,1.61,-0.04,3.96,0.24,13,False
3,13,offense,31.69,24.58,1.47,-0.73,3.31,-1.2,12,False
3,14,offense,36.3,35.76,-0.13,-0.25,0.12,0.88,1,True
3,15,disc,36.3,35.76,-0.13,-0.25,0.12,0.88,0,False
4,1,defense,38.51,35.87,-1.2,-0.81,-4.13,-2.67,14,False
4,2,defense,48.4,32.53,0.87,-0.73,2.94,-2.92,4,False
4,3,defense,42.31,32.14,1.36,1.32,6.44,4.88,7,False
4,4,offense,53.18,28.78,0.49,-0.65,1.8,-2.45,2,False
4,5,offense,55.02,21.87,3.94,0.28,14.59,0.89,6,False
4,6,defense,48.18,24.97,5.1,-0.08,20.03,-0.17,5,False
4,7,offense,46.22,27.04,0.28,-1.2,1.32,-5.18,3,False
4,8,defense,42.07,28.38,0.89,0.31,2.74,0.96,9,False
4,9,offense,41.79,27.35,1.01,0.83,4.82,2.6,8,False
4,10,offense,42.18,24.58,2.59,-0.47,9.98,-1.23,11,False
4,11,defense,40.95,24.9,2.8,0.01,10.93,0.88,10,False
4,12,defense,33.25,26.34,2.17,-0.06,8.32,-0.26,13,False
4,13,offense,31.85,24.49,1.96,-1.01,7.37,-4.12,12,False
4,14,offense,36.28,35.73,-0.13,-0.2,0.03,0.61,1,True
4,15,disc,36.28,35.73,-0.13,-0.2,0.03,0.61,0,False
5,1,defense,38.4,35.79,-1.29,-0.86,-1.48,-0.81,14,False
5,2,defense,48.47,32.48,0.99,-0.86,1.88,-1.93,4,False
5,3,defense,42.43,32.25,1.66,1.43,4.53,1.67,7,False
5,4,offense,53.22,28.72,0.54,-0.77,0.75,-1.9,2,False
5,5,offense,55.34,21.89,4.42,0.34,7.28,0.89,6,False
5,6,defense,48.62,24.97,5.76,-0.03,9.85,0.67,5,False
5,7,offense,46.25,26.93,0.37,-1.38,1.41,-2.61,3,False
5,8,defense,42.16,28.41,0.97,0.37,1.26,0.86,9,False
5,9,offense,41.89,27.43,1.19,0.84,2.59,0.15,8,False
5,10,offense,42.39,24.55,2.94,-0.41,5.23,0.9,11,False
5,11,defense,41.19,24.9,3.17,0.12,5.66,1.66,10,False
5,12,defense,33.43,26.34,2.47,-0.01,4.64,0.81,13,False
5,13,offense,32.01,24.42,2.24,-1.01,4.18,0.01,12,False
5,14,offense,36.27,35.73,-0.07,-0.01,0.83,2.87,1,True
5,15,disc,36.27,35.73,-0.07,-0.01,0.83,2.87,0,False
6,1,defense,38.31,35.73,-1.26,-0.87,0.52,-0.11,14,False
6,2,defense,48.53,32.41,1.21,-1.0,3.26,-2.04,4,False
6,3,defense,42.57,32.36,2.02,1.59,5.35,2.45,7,False
6,4,offense,53.26,28.66,0.6,-0.77,0.87,0.1,2,False
6,5,offense,55.66,21.91,4.89,0.37,6.97,0.36,6,False
6,6,defense,49.07,24.96,6.46,-0.07,10.54,-0.53,5,False
6,7,offense,46.28,26.81,0.45,-1.47,1.16,-1.37,3,False
6,8,defense,42.22,28.43,1.05,0.45,1.11,1.26,9,False
6,9,offense,42.0,27.48,1.37,0.81,2.68,-0.32,8,False
6,10,offense,42.62,24.52,3.29,-0.35,5.2,0.94,11,False
6,11,defense,41.43,24.92,3.68,0.24,7.57,1.81,10,False
6,12,defense,33.61,26.34,2.77,0.01,4.38,0.31,13,False
6,13,offense,32.17,24.33,2.41,-1.06,2.58,-0.73,12,False
6,14,offense,36.27,35.75,-0.01,0.14,0.94,2.31,1,True
6,15,disc,36.27,35.75,-0.01,0.14,0.94,2.31,0,False
7,1,defense,38.23,35.69,-1.23,-0.73,0.47,2.11,14,False
7,2,defense,48.61,32.34,1.29,-0.98,1.23,0.28,4,False
7,3,defense,42.72,32.45,2.29,1.49,4.06,-1.54,7,False
7,4,offense,53.3,28.61,0.62,-0.69,0.38,1.16,2,False
7,5,offense,55.99,21.94,4.95,0.33,0.93,-0.56,6,False
7,6,defense,49.5,24.97,6.59,-0.1,1.91,-0.53,5,False
7,7,offense,46.31,26.72,0.52,-1.4,1.09,0.95,3,False
7,8,defense,42.28,28.46,0.99,0.5,-0.87,0.8,9,False
7,9,offense,42.09,27.52,1.45,0.76,1.23,-0.88,8,False
7,10,offense,42.84,24.51,3.42,-0.3,1.98,0.71,11,False
7,11,defense,41.68,24.95,3.72,0.35,0.59,1.65,10,False
7,12,defense,33.81,26.35,2.78,-0.02,0.27,-0.54,13,False
7,13,offense,32.33,24.28,2.41,-0.92,0.07,1.95,12,False
7,14,offense,36.28,35.78,0.12,0.32,1.88,2.75,1,True
7,15,disc,36.28,35.78,0.12,0.32,1.88,2.75,0,False
8,1,defense,38.18,35.64,-1.11,-0.47,1.75,3.9,14,False
8,2,defense,48.72,32.27,1.49,-1.02,2.91,-0.61,4,False
8,3,defense,42.88,32.55,2.58,1.37,4.36,-1.72,7,False
8,4,offense,53.34,28.57,0.7,-0.59,1.13,1.47,2,False
8,5,offense,56.32,21.96,4.99,0.36,0.66,0.49,6,False
8,6,defense,49.93,24.96,6.41,-0.13,-2.72,-0.35,5,False
8,7,offense,46.35,26.64,0.58,-1.23,0.8,2.59,3,False
8,8,defense,42.35,28.5,0.88,0.57,-1.61,0.95,9,False
8,9,offense,42.18,27.56,1.31,0.66,-2.08,-1.47,8,False
8,10,offense,43.07,24.5,3.54,-0.26,1.77,0.66,11,False
8,11,defense,41.94,24.98,3.77,0.44,0.81,1.45,10,False
8,12,defense,33.99,26.35,2.85,-0.04,0.97,-0.31,13,False
8,13,offense,32.49,24.23,2.43,-0.84,0.31,1.28,12,False
8,14,offense,36.29,35.81,0.25,0.43,2.08,1.64,1,True
8,15,disc,36.29,35.81,0.25,0.43,2.08,1.64,0,False
9,1,defense,38.11,35.63,-1.06,-0.21,0.79,3.88,14,False
9,2,defense,48.83,32.21,1.74,-1.04,3.88,-0.28,4,False
9,3,defense,43.07,32.64,2.84,1.23,3.88,-2.21,7,False
9,4,offense,53.39,28.55,0.77,-0.46,1.13,1.95,2,False
9,5,offense,56.67,21.98,4.98,0.39,-0.15,0.48,6,False
9,6,defense,50.38,24.94,6.28,-0.13,-1.91,-0.02,5,False
9,7,offense,46.39,26.57,0.61,-1.06,0.47,2.59,3,False
9,8,defense,42.4,28.55,0.89,0.65,0.16,1.29,9,False
9,9,offense,42.27,27.6,1.21,0.6,-1.44,-0.82,8,False
9,10,offense,43.32,24.48,3.62,-0.21,1.13,0.65,11,False
9,11,defense,42.19,25.01,3.8,0.41,0.49,-0.48,10,False
9,12,defense,34.18,26.34,2.86,-0.02,0.16,0.32,13,False
9,13,offense,32.65,24.18,2.45,-0.68,0.31,2.41,12,False
9,14,offense,36.31,35.84,0.34,0.52,1.28,1.31,1,True
9,15,disc,36.31,35.84,0.34,0.52,1.28,1.31,0,False
10,1,defense,38.03,35.64,-0.94,-0.03,1.75,2.6,14,False
10,2,defense,48.96,32.14,1.95,-1.03,3.07,0.2,4,False
10,3,defense,43.28,32.7,3.06,1.07,3.4,-2.38,7,False
10,4,offense,53.46,28.52,0.93,-0.29,2.42,2.61,2,False
10,5,offense,57.0,22.01,4.9,0.43,-1.28,0.63,6,False
10,6,defense,50.76,24.93,6.28,-0.13,0.03,-0.0,5,False
10,7,offense,46.44,26.52,0.62,-0.92,0.15,2.1,3,False
10,8,defense,42.45,28.59,0.85,0.68,-0.64,0.32,9,False
10,9,offense,42.32,27.64,1.25,0.64,0.48,0.49,8,False
10,10,offense,43.57,24.46,3.7,-0.23,1.3,-0.31,11,False
10,11,defense,42.44,25.05,3.82,0.38,0.17,-0.48,10,False
10,12,defense,34.38,26.33,2.84,-0.11,-0.31,-1.29,13,False
10,13,offense,32.82,24.14,2.53,-0.7,1.12,-0.31,12,False
10,14,offense,36.35,35.88,0.39,0.63,0.79,1.62,1,True
10,15,disc,36.35,35.88,0.39,0.63,0.79,1.62,0,False
11,1,defense,37.96,35.66,-0.96,0.21,-0.34,3.71,14,False
11,2,defense,49.11,32.06,2.04,-0.95,1.29,1.14,4,False
11,3,defense,43.51,32.76,3.27,0.95,3.07,-1.74,7,False
11,4,offense,53.52,28.51,1.01,-0.19,1.13,1.47,2,False
11,5,offense,57.33,22.04,4.76,0.5,-2.1,0.95,6,False
11,6,defense,51.16,24.92,6.23,-0.02,-0.79,1.6,5,False
11,7,offense,46.48,26.46,0.61,-0.84,-0.17,1.13,3,False
11,8,defense,42.51,28.65,0.81,0.61,-0.64,-0.97,9,False
11,9,offense,42.4,27.68,1.29,0.63,0.65,-0.16,8,False
11,10,offense,43.82,24.45,3.77,-0.31,0.98,-1.12,11,False
