frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,offense,43.62,22.42,-0.04,-0.08,0.0,0.0,14,False
1,2,offense,42.04,22.43,0.14,0.03,0.0,0.0,3,False
1,3,defense,41.11,22.99,-0.02,-0.01,0.0,0.0,2,False
1,4,defense,39.78,23.47,-0.06,0.04,0.0,0.0,5,False
1,5,offense,39.36,22.32,0.13,-0.05,0.0,0.0,4,False
1,6,offense,37.59,21.95,0.2,-0.03,0.0,0.0,7,False
1,7,defense,36.76,22.33,-0.05,-0.39,0.0,0.0,6,False
1,8,defense,34.52,21.41,-0.15,-0.08,0.0,0.0,9,False
1,9,offense,33.83,22.15,-0.07,0.08,0.0,0.0,8,False
1,10,defense,31.9,22.77,-0.06,0.17,0.0,0.0,11,False
1,11,offense,32.21,21.53,-0.09,0.06,0.0,0.0,10,False
1,12,defense,24.35,16.6,-0.11,0.06,0.0,0.0,13,False
1,13,offense,23.35,16.79,0.01,0.01,0.0,0.0,12,True
1,14,defense,43.67,21.66,-0.07,0.14,0.0,0.0,1,False
1,15,disc,23.35,16.79,0.01,0.01,0.0,0.0,0,False
2,1,offense,43.62,22.4,-0.02,-0.05,0.23,0.5,14,False
2,2,offense,42.05,22.43,0.19,0.04,0.89,0.18,3,False
2,3,defense,41.11,22.99,0.0,-0.02,0.28,-0.14,2,False
2,4,defense,39.77,23.47,-0.1,0.07,-0.67,0.49,5,False
2,5,offense,39.38,22.32,0.14,-0.09,0.18,-0.62,4,False
2,6,offense,37.6,21.95,0.32,-0.01,1.74,0.33,7,False
2,7,defense,36.75,22.29,-0.1,-0.53,-0.81,-2.1,6,False
2,8,defense,34.5,21.4,-0.18,-0.05,-0.31,0.54,9,False
2,9,offense,33.82,22.16,-0.12,0.12,-0.78,0.5,8,False
2,10,defense,31.9,22.79,-0.05,0.19,0.03,0.31,11,False
2,11,offense,32.2,21.54,-0.17,0.11,-1.13,0.66,10,False
2,12,defense,24.33,16.61,-0.15,0.05,-0.68,-0.05,13,False
2,13,offense,23.36,16.79,0.02,0.01,0.23,0.1,12,True
2,14,defense,43.66,21.68,-0.11,0.14,-0.57,0.07,1,False
2,15,disc,23.36,16.79,0.02,0.01,0.23,0.1,0,False
3,1,offense,43.61,22.4,0.01,0.0,0.5,0.79,14,False
3,2,offense,42.06,22.43,0.25,0.05,0.82,0.19,3,False
3,3,defense,41.11,22.98,0.04,0.01,0.6,0.54,2,False
3,4,defense,39.77,23.48,-0.09,0.05,0.27,-0.21,5,False
3,5,offense,39.39,22.31,0.16,-0.07,0.34,0.26,4,False
3,6,offense,37.63,21.94,0.25,-0.01,-1.05,0.02,7,False
3,7,defense,36.75,22.25,-0.16,-0.56,-0.87,-0.49,6,False
3,8,defense,34.48,21.39,-0.22,-0.06,-0.65,-0.18,9,False
3,9,offense,33.82,22.17,-0.12,0.15,-0.0,0.45,8,False
3,10,defense,31.89,22.8,-0.11,0.17,-0.89,-0.35,11,False
3,11,offense,32.19,21.54,-0.16,0.13,0.14,0.32,10,False
3,12,defense,24.33,16.61,-0.12,0.06,0.41,0.16,13,False
3,13,offense,23.36,16.79,0.02,0.01,-0.12,-0.04,12,True
3,14,defense,43.65,21.69,-0.13,0.18,-0.19,0.55,1,False
3,15,disc,23.36,16.79,0.02,0.01,-0.12,-0.04,0,False
4,1,offense,43.61,22.41,0.06,0.04,0.76,0.63,14,False
4,2,offense,42.09,22.44,0.32,0.07,1.08,0.31,3,False
4,3,defense,41.11,22.98,0.08,0.05,0.6,0.47,2,False
4,4,defense,39.75,23.49,-0.09,0.05,-0.04,-0.0,5,False
4,5,offense,39.4,22.3,0.19,-0.07,0.44,-0.01,4,False
4,6,offense,37.67,21.95,0.31,0.03,0.9,0.63,7,False
4,7,defense,36.73,22.19,-0.18,-0.69,-0.37,-1.93,6,False
4,8,defense,34.47,21.4,-0.29,-0.06,-1.01,0.0,9,False
4,9,offense,33.8,22.18,-0.14,0.17,-0.37,0.32,8,False
4,10,defense,31.89,22.82,-0.12,0.15,-0.04,-0.24,11,False
4,11,offense,32.17,21.56,-0.16,0.2,-0.04,1.12,10,False
4,12,defense,24.31,16.61,-0.09,0.09,0.44,0.32,13,False
4,13,offense,23.36,16.79,0.01,0.01,-0.04,-0.0,12,True
4,14,defense,43.64,21.7,-0.16,0.2,-0.53,0.32,1,False
4,15,disc,23.36,16.79,0.01,0.01,-0.04,-0.0,0,False
5,1,offense,43.62,22.42,0.13,0.18,0.95,2.11,14,False
5,2,offense,42.12,22.44,0.38,0.1,0.83,0.35,3,False
5,3,defense,41.13,22.99,0.13,0.08,0.69,0.54,2,False
5,4,defense,39.75,23.49,-0.07,0.04,0.28,-0.21,5,False
5,5,offense,39.42,22.3,0.17,-0.06,-0.29,0.26,4,False
5,6,offense,37.67,21.95,0.29,0.11,-0.17,1.18,7,False
5,7,defense,36.71,22.15,-0.19,-0.63,-0.13,0.87,6,False
5,8,defense,34.44,21.39,-0.29,-0.01,-0.03,0.78,9,False
5,9,offense,33.79,22.2,-0.14,0.18,0.01,0.17,8,False
5,10,defense,31.86,22.83,-0.08,-0.0,0.57,-2.34,11,False
5,11,offense,32.16,21.57,-0.13,0.26,0.48,0.88,10,False
5,12,defense,24.31,16.62,-0.03,0.06,1.03,-0.33,13,False
5,13,offense,23.36,16.79,0.01,0.03,-0.11,0.28,12,True
5,14,defense,43.62,21.72,-0.18,0.17,-0.28,-0.41,1,False
5,15,disc,23.36,16.79,0.01,0.03,-0.11,0.28,0,False
6,1,offense,43.64,22.43,0.19,0.24,0.89,0.88,14,False
6,2,offense,42.14,22.45,0.42,0.08,0.73,-0.25,3,False
6,3,defense,41.14,23.0,0.15,0.12,0.35,0.51,2,False
6,4,defense,39.75,23.49,-0.06,0.03,0.17,-0.13,5,False
6,5,offense,39.43,22.3,0.17,-0.04,0.02,0.16,4,False
6,6,offense,37.69,21.96,0.23,0.24,-0.98,1.89,7,False
6,7,defense,36.7,22.1,-0.28,-0.59,-1.3,0.72,6,False
6,8,defense,34.42,21.39,-0.26,0.01,0.37,0.27,9,False
6,9,offense,33.78,22.21,-0.15,0.2,-0.13,0.36,8,False
6,10,defense,31.86,22.82,-0.05,-0.2,0.37,-2.9,11,False
6,11,offense,32.16,21.6,-0.13,0.36,-0.03,1.47,10,False
6,12,defense,24.32,16.63,-0.0,0.05,0.33,-0.19,13,False
6,13,offense,23.36,16.79,0.0,0.08,-0.06,0.78,12,True
6,14,defense,43.61,21.73,-0.14,0.16,0.52,-0.16,1,False
6,15,disc,23.36,16.79,0.0,0.08,-0.06,0.78,0,False
7,1,offense,43.66,22.47,0.24,0.25,0.84,0.17,14,False
7,2,offense,42.17,22.46,0.47,0.06,0.62,-0.24,3,False
7,3,defense,41.15,23.01,0.14,0.16,-0.21,0.63,2,False
7,4,defense,39.75,23.49,-0.01,-0.0,0.67,-0.5,5,False
7,5,offense,39.44,22.3,0.19,-0.0,0.24,0.63,4,False
7,6,offense,37.7,21.98,0.12,0.38,-1.68,2.06,7,False
7,7,defense,36.68,22.08,-0.27,-0.49,0.1,1.41,6,False
7,8,defense,34.4,21.4,-0.24,0.0,0.34,-0.19,9,False
7,9,offense,33.77,22.22,-0.12,0.22,0.46,0.31,8,False
7,10,defense,31.87,22.79,-0.07,-0.38,-0.31,-2.76,11,False
7,11,offense,32.16,21.63,-0.09,0.42,0.66,0.9,10,False
7,12,defense,24.33,16.63,0.05,0.04,0.82,-0.13,13,False
7,13,offense,23.36,16.8,0.01,0.13,0.07,0.7,12,True
7,14,defense,43.6,21.74,-0.1,0.13,0.64,-0.47,1,False
7,15,disc,23.36,16.8,0.01,0.13,0.07,0.7,0,False
8,1,offense,43.67,22.48,0.27,0.19,0.48,-0.96,14,False
8,2,offense,42.2,22.46,0.46,0.04,-0.1,-0.27,3,False
8,3,defense,41.16,23.02,0.07,0.13,-0.96,-0.47,2,False
8,4,defense,39.75,23.49,-0.01,-0.0,0.0,0.0,5,False
8,5,offense,39.45,22.3,0.17,-0.02,-0.32,-0.32,4,False
8,6,offense,37.7,22.02,0.24,0.55,1.83,2.55,7,False
8,7,defense,36.66,22.06,-0.14,-0.48,1.93,0.15,6,False
8,8,defense,34.4,21.4,-0.19,0.02,0.81,0.32,9,False
8,9,offense,33.76,22.24,-0.1,0.21,0.32,-0.16,8,False
8,10,defense,31.87,22.74,0.04,-0.54,1.76,-2.45,11,False
8,11,offense,32.15,21.66,-0.14,0.49,-0.8,1.06,10,False
